실험회수,드론의 높이(m), 풍속(m?s), 드론발전기최대전력(w),드른중량(Kg),밧데리방전율,   농약살포 효율성(면적)(ha) 
1 ,10.00 ,1.00 ,125718.00 ,15.00 ,1.20 ,"22,629,240 "
1 ,11.00 ,1.00 ,120057.00 ,15.00 ,1.20 ,"23,771,286 "
1 ,20.00 ,1.00 ,116529.00 ,15.00 ,1.20 ,"41,950,440 "
1 ,14.00 ,1.00 ,125200.00 ,15.00 ,1.20 ,"31,550,400 "
1 ,20.00 ,1.00 ,118120.00 ,15.00 ,1.20 ,"42,523,200 "
1 ,11.00 ,1.00 ,125740.00 ,15.00 ,1.20 ,"24,896,520 "
1 ,20.00 ,1.00 ,144739.00 ,15.00 ,1.20 ,"52,106,040 "
1 ,15.00 ,1.00 ,130318.00 ,15.00 ,1.20 ,"35,185,860 "
1 ,12.00 ,1.00 ,130966.00 ,15.00 ,1.20 ,"28,288,656 "
1 ,11.00 ,1.00 ,114618.00 ,15.00 ,1.20 ,"22,694,364 "
1 ,16.00 ,1.00 ,130284.00 ,15.00 ,1.20 ,"37,521,792 "
1 ,15.00 ,1.00 ,128869.00 ,15.00 ,1.20 ,"34,794,630 "
1 ,14.00 ,1.00 ,132192.00 ,15.00 ,1.20 ,"33,312,384 "
1 ,17.00 ,1.00 ,129338.00 ,15.00 ,1.20 ,"39,577,428 "
1 ,15.00 ,1.00 ,136092.00 ,15.00 ,1.20 ,"36,744,840 "
1 ,10.00 ,1.00 ,114560.00 ,15.00 ,1.20 ,"20,620,800 "
1 ,12.00 ,1.00 ,120648.00 ,15.00 ,1.20 ,"26,059,968 "
1 ,12.00 ,1.00 ,126315.00 ,15.00 ,1.20 ,"27,284,040 "
1 ,10.00 ,1.00 ,132237.00 ,15.00 ,1.20 ,"23,802,660 "
1 ,15.00 ,1.00 ,129536.00 ,15.00 ,1.20 ,"34,974,720 "
1 ,15.00 ,1.00 ,136229.00 ,15.00 ,1.20 ,"36,781,830 "
1 ,12.00 ,1.00 ,135470.00 ,15.00 ,1.20 ,"29,261,520 "
1 ,10.00 ,1.00 ,118314.00 ,15.00 ,1.20 ,"21,296,520 "
1 ,13.00 ,1.00 ,132330.00 ,15.00 ,1.20 ,"30,965,220 "
1 ,16.00 ,1.00 ,116160.00 ,15.00 ,1.20 ,"33,454,080 "
1 ,10.00 ,1.00 ,130262.00 ,15.00 ,1.20 ,"23,447,160 "
1 ,13.00 ,1.00 ,139656.00 ,15.00 ,1.20 ,"32,679,504 "
1 ,13.00 ,1.00 ,109760.00 ,15.00 ,1.20 ,"25,683,840 "
1 ,11.00 ,1.00 ,109540.00 ,15.00 ,1.20 ,"21,688,920 "
1 ,10.00 ,1.00 ,124960.00 ,15.00 ,1.20 ,"22,492,800 "
1 ,11.00 ,1.00 ,139368.00 ,15.00 ,1.20 ,"27,594,864 "
1 ,18.00 ,1.00 ,129507.00 ,15.00 ,1.20 ,"41,960,268 "
1 ,13.00 ,1.00 ,126983.00 ,15.00 ,1.20 ,"29,714,022 "
1 ,12.00 ,1.00 ,131964.00 ,15.00 ,1.20 ,"28,504,224 "
1 ,14.00 ,1.00 ,125114.00 ,15.00 ,1.20 ,"31,528,728 "
1 ,15.00 ,1.00 ,137126.00 ,15.00 ,1.20 ,"37,024,020 "
1 ,18.00 ,1.00 ,121170.00 ,15.00 ,1.20 ,"39,259,080 "
1 ,16.00 ,1.00 ,131882.00 ,15.00 ,1.20 ,"37,982,016 "
1 ,12.00 ,1.00 ,113260.00 ,15.00 ,1.20 ,"24,464,160 "
1 ,15.00 ,1.00 ,125327.00 ,15.00 ,1.20 ,"33,838,290 "
1 ,14.00 ,1.00 ,131010.00 ,15.00 ,1.20 ,"33,014,520 "
1 ,16.00 ,1.00 ,135312.00 ,15.00 ,1.20 ,"38,969,856 "
1 ,14.00 ,1.00 ,124593.00 ,15.00 ,1.20 ,"31,397,436 "
1 ,12.00 ,1.00 ,129171.00 ,15.00 ,1.20 ,"27,900,936 "
1 ,20.00 ,1.00 ,122408.00 ,15.00 ,1.20 ,"44,066,880 "
1 ,19.00 ,1.00 ,140553.00 ,15.00 ,1.20 ,"48,069,126 "
1 ,18.00 ,1.00 ,123280.00 ,15.00 ,1.20 ,"39,942,720 "
1 ,14.00 ,1.00 ,132000.00 ,15.00 ,1.20 ,"33,264,000 "
1 ,10.00 ,1.00 ,136229.00 ,15.00 ,1.20 ,"24,521,220 "
1 ,19.00 ,1.00 ,142560.00 ,15.00 ,1.20 ,"48,755,520 "
1 ,17.00 ,1.00 ,121572.00 ,15.00 ,1.20 ,"37,201,032 "
1 ,15.00 ,1.00 ,111160.00 ,15.00 ,1.20 ,"30,013,200 "
1 ,10.00 ,1.00 ,143750.00 ,15.00 ,1.20 ,"25,875,000 "
1 ,13.00 ,1.00 ,118167.00 ,15.00 ,1.20 ,"27,651,078 "
1 ,11.00 ,1.00 ,142296.00 ,15.00 ,1.20 ,"28,174,608 "
1 ,13.00 ,1.00 ,140645.00 ,15.00 ,1.20 ,"32,910,930 "
1 ,18.00 ,1.00 ,120340.00 ,15.00 ,1.20 ,"38,990,160 "
1 ,12.00 ,1.00 ,117980.00 ,15.00 ,1.20 ,"25,483,680 "
1 ,12.00 ,1.00 ,141381.00 ,15.00 ,1.20 ,"30,538,296 "
1 ,14.00 ,1.00 ,128961.00 ,15.00 ,1.20 ,"32,498,172 "
1 ,20.00 ,1.00 ,124146.00 ,15.00 ,1.20 ,"44,692,560 "
1 ,16.00 ,1.00 ,141816.00 ,15.00 ,1.20 ,"40,843,008 "
1 ,10.00 ,1.00 ,136320.00 ,15.00 ,1.20 ,"24,537,600 "
1 ,18.00 ,1.00 ,130617.00 ,15.00 ,1.20 ,"42,319,908 "
1 ,11.00 ,1.00 ,130548.00 ,15.00 ,1.20 ,"25,848,504 "
1 ,13.00 ,1.00 ,131628.00 ,15.00 ,1.20 ,"30,800,952 "
1 ,17.00 ,1.00 ,131744.00 ,15.00 ,1.20 ,"40,313,664 "
1 ,13.00 ,1.00 ,129465.00 ,15.00 ,1.20 ,"30,294,810 "
1 ,14.00 ,1.00 ,112480.00 ,15.00 ,1.20 ,"28,344,960 "
1 ,14.00 ,1.00 ,125740.00 ,15.00 ,1.20 ,"31,686,480 "
1 ,12.00 ,1.00 ,121044.00 ,15.00 ,1.20 ,"26,145,504 "
1 ,13.00 ,1.00 ,145704.00 ,15.00 ,1.20 ,"34,094,736 "
1 ,19.00 ,1.00 ,126324.00 ,15.00 ,1.20 ,"43,202,808 "
1 ,17.00 ,1.00 ,128590.00 ,15.00 ,1.20 ,"39,348,540 "
1 ,18.00 ,1.00 ,127468.00 ,15.00 ,1.20 ,"41,299,632 "
1 ,11.00 ,1.00 ,115260.00 ,15.00 ,1.20 ,"22,821,480 "
1 ,13.00 ,1.00 ,135344.00 ,15.00 ,1.20 ,"31,670,496 "
1 ,11.00 ,1.00 ,117138.00 ,15.00 ,1.20 ,"23,193,324 "
1 ,13.00 ,1.00 ,146640.00 ,15.00 ,1.20 ,"34,313,760 "
1 ,12.00 ,1.00 ,129612.00 ,15.00 ,1.20 ,"27,996,192 "
1 ,19.00 ,1.00 ,130328.00 ,15.00 ,1.20 ,"44,572,176 "
1 ,10.00 ,1.00 ,111320.00 ,15.00 ,1.20 ,"20,037,600 "
1 ,18.00 ,1.00 ,119580.00 ,15.00 ,1.20 ,"38,743,920 "
1 ,11.00 ,1.00 ,127491.00 ,15.00 ,1.20 ,"25,243,218 "
1 ,17.00 ,1.00 ,128709.00 ,15.00 ,1.20 ,"39,384,954 "
1 ,20.00 ,1.00 ,116865.00 ,15.00 ,1.20 ,"42,071,400 "
1 ,15.00 ,1.00 ,108040.00 ,15.00 ,1.20 ,"29,170,800 "
1 ,11.00 ,1.00 ,134872.00 ,15.00 ,1.20 ,"26,704,656 "
1 ,18.00 ,1.00 ,118260.00 ,15.00 ,1.20 ,"38,316,240 "
1 ,14.00 ,1.00 ,127722.00 ,15.00 ,1.20 ,"32,185,944 "
1 ,10.00 ,1.00 ,127732.00 ,15.00 ,1.20 ,"22,991,760 "
1 ,20.00 ,1.00 ,135907.00 ,15.00 ,1.20 ,"48,926,520 "
1 ,18.00 ,1.00 ,112020.00 ,15.00 ,1.20 ,"36,294,480 "
1 ,13.00 ,1.00 ,137896.00 ,15.00 ,1.20 ,"32,267,664 "
1 ,14.00 ,1.00 ,132968.00 ,15.00 ,1.20 ,"33,507,936 "
1 ,11.00 ,1.00 ,130482.00 ,15.00 ,1.20 ,"25,835,436 "
1 ,19.00 ,1.00 ,127050.00 ,15.00 ,1.20 ,"43,451,100 "
1 ,20.00 ,1.00 ,112860.00 ,15.00 ,1.20 ,"40,629,600 "
1 ,18.00 ,1.00 ,150960.00 ,15.00 ,1.20 ,"48,911,040 "
1 ,10.00 ,1.00 ,140967.00 ,15.00 ,1.20 ,"25,374,060 "
1 ,13.00 ,1.00 ,127336.00 ,15.00 ,1.20 ,"29,796,624 "
1 ,12.00 ,1.00 ,126962.00 ,15.00 ,1.20 ,"27,423,792 "
1 ,16.00 ,1.00 ,125307.00 ,15.00 ,1.20 ,"36,088,416 "
1 ,10.00 ,1.00 ,138072.00 ,15.00 ,1.20 ,"24,852,960 "
1 ,17.00 ,1.00 ,144532.00 ,15.00 ,1.20 ,"44,226,792 "
1 ,19.00 ,1.00 ,133008.00 ,15.00 ,1.20 ,"45,488,736 "
1 ,11.00 ,1.00 ,124880.00 ,15.00 ,1.20 ,"24,726,240 "
1 ,10.00 ,1.00 ,110520.00 ,15.00 ,1.20 ,"19,893,600 "
1 ,20.00 ,1.00 ,133440.00 ,15.00 ,1.20 ,"48,038,400 "
1 ,10.00 ,1.00 ,141648.00 ,15.00 ,1.20 ,"25,496,640 "
1 ,11.00 ,1.00 ,122040.00 ,15.00 ,1.20 ,"24,163,920 "
1 ,12.00 ,1.00 ,123648.00 ,15.00 ,1.20 ,"26,707,968 "
1 ,17.00 ,1.00 ,138552.00 ,15.00 ,1.20 ,"42,396,912 "
1 ,20.00 ,1.00 ,128386.00 ,15.00 ,1.20 ,"46,218,960 "
1 ,17.00 ,1.00 ,137126.00 ,15.00 ,1.20 ,"41,960,556 "
1 ,14.00 ,1.00 ,149136.00 ,15.00 ,1.20 ,"37,582,272 "
1 ,11.00 ,1.00 ,130704.00 ,15.00 ,1.20 ,"25,879,392 "
1 ,11.00 ,1.00 ,120330.00 ,15.00 ,1.20 ,"23,825,340 "
1 ,10.00 ,1.00 ,130548.00 ,15.00 ,1.20 ,"23,498,640 "
1 ,11.00 ,1.00 ,124432.00 ,15.00 ,1.20 ,"24,637,536 "
1 ,10.00 ,1.00 ,113800.00 ,15.00 ,1.20 ,"20,484,000 "
1 ,13.00 ,1.00 ,128964.00 ,15.00 ,1.20 ,"30,177,576 "
1 ,15.00 ,1.00 ,133262.00 ,15.00 ,1.20 ,"35,980,740 "
1 ,19.00 ,1.00 ,122700.00 ,15.00 ,1.20 ,"41,963,400 "
1 ,17.00 ,1.00 ,133768.00 ,15.00 ,1.20 ,"40,933,008 "
1 ,13.00 ,1.00 ,115584.00 ,15.00 ,1.20 ,"27,046,656 "
1 ,14.00 ,1.00 ,130218.00 ,15.00 ,1.20 ,"32,814,936 "
1 ,18.00 ,1.00 ,118461.00 ,15.00 ,1.20 ,"38,381,364 "
1 ,20.00 ,1.00 ,142968.00 ,15.00 ,1.20 ,"51,468,480 "
1 ,15.00 ,1.00 ,150552.00 ,15.00 ,1.20 ,"40,649,040 "
1 ,16.00 ,1.00 ,140568.00 ,15.00 ,1.20 ,"40,483,584 "
1 ,17.00 ,1.00 ,135938.00 ,15.00 ,1.20 ,"41,597,028 "
1 ,17.00 ,1.00 ,116487.00 ,15.00 ,1.20 ,"35,645,022 "
1 ,16.00 ,1.00 ,134596.00 ,15.00 ,1.20 ,"38,763,648 "
1 ,13.00 ,1.00 ,134320.00 ,15.00 ,1.20 ,"31,430,880 "
1 ,17.00 ,1.00 ,136664.00 ,15.00 ,1.20 ,"41,819,184 "
1 ,16.00 ,1.00 ,134544.00 ,15.00 ,1.20 ,"38,748,672 "
1 ,18.00 ,1.00 ,133440.00 ,15.00 ,1.20 ,"43,234,560 "
1 ,12.00 ,1.00 ,140520.00 ,15.00 ,1.20 ,"30,352,320 "
1 ,19.00 ,1.00 ,119560.00 ,15.00 ,1.20 ,"40,889,520 "
1 ,18.00 ,1.00 ,110740.00 ,15.00 ,1.20 ,"35,879,760 "
1 ,14.00 ,1.00 ,131406.00 ,15.00 ,1.20 ,"33,114,312 "
1 ,16.00 ,1.00 ,114198.00 ,15.00 ,1.20 ,"32,889,024 "
1 ,19.00 ,1.00 ,129150.00 ,15.00 ,1.20 ,"44,169,300 "
1 ,14.00 ,1.00 ,112860.00 ,15.00 ,1.20 ,"28,440,720 "
1 ,19.00 ,1.00 ,117380.00 ,15.00 ,1.20 ,"40,143,960 "
1 ,12.00 ,1.00 ,125764.00 ,15.00 ,1.20 ,"27,165,024 "
1 ,18.00 ,1.00 ,122820.00 ,15.00 ,1.20 ,"39,793,680 "
1 ,10.00 ,1.00 ,110520.00 ,15.00 ,1.20 ,"19,893,600 "
1 ,16.00 ,1.00 ,120880.00 ,15.00 ,1.20 ,"34,813,440 "
1 ,11.00 ,1.00 ,128150.00 ,15.00 ,1.20 ,"25,373,700 "
1 ,15.00 ,1.00 ,150696.00 ,15.00 ,1.20 ,"40,687,920 "
1 ,14.00 ,1.00 ,148104.00 ,15.00 ,1.20 ,"37,322,208 "
1 ,18.00 ,1.00 ,122078.00 ,15.00 ,1.20 ,"39,553,272 "
1 ,17.00 ,1.00 ,140856.00 ,15.00 ,1.20 ,"43,101,936 "
1 ,13.00 ,1.00 ,144024.00 ,15.00 ,1.20 ,"33,701,616 "
1 ,14.00 ,1.00 ,127903.00 ,15.00 ,1.20 ,"32,231,556 "
1 ,10.00 ,1.00 ,123640.00 ,15.00 ,1.20 ,"22,255,200 "
1 ,13.00 ,1.00 ,126799.00 ,15.00 ,1.20 ,"29,670,966 "
1 ,19.00 ,1.00 ,135960.00 ,15.00 ,1.20 ,"46,498,320 "
1 ,20.00 ,1.00 ,139196.00 ,15.00 ,1.20 ,"50,110,560 "
1 ,17.00 ,1.00 ,121359.00 ,15.00 ,1.20 ,"37,135,854 "
1 ,20.00 ,1.00 ,111060.00 ,15.00 ,1.20 ,"39,981,600 "
1 ,10.00 ,1.00 ,115164.00 ,15.00 ,1.20 ,"20,729,520 "
1 ,15.00 ,1.00 ,134544.00 ,15.00 ,1.20 ,"36,326,880 "
1 ,19.00 ,1.00 ,139863.00 ,15.00 ,1.20 ,"47,833,146 "
1 ,12.00 ,1.00 ,126808.00 ,15.00 ,1.20 ,"27,390,528 "
1 ,12.00 ,1.00 ,141720.00 ,15.00 ,1.20 ,"30,611,520 "
1 ,14.00 ,1.00 ,129250.00 ,15.00 ,1.20 ,"32,571,000 "
1 ,12.00 ,1.00 ,126735.00 ,15.00 ,1.20 ,"27,374,760 "
1 ,18.00 ,1.00 ,136444.00 ,15.00 ,1.20 ,"44,207,856 "
1 ,14.00 ,1.00 ,121286.00 ,15.00 ,1.20 ,"30,564,072 "
1 ,19.00 ,1.00 ,121700.00 ,15.00 ,1.20 ,"41,621,400 "
1 ,14.00 ,1.00 ,131775.00 ,15.00 ,1.20 ,"33,207,300 "
1 ,12.00 ,1.00 ,125356.00 ,15.00 ,1.20 ,"27,076,896 "
1 ,19.00 ,1.00 ,123970.00 ,15.00 ,1.20 ,"42,397,740 "
1 ,11.00 ,1.00 ,114660.00 ,15.00 ,1.20 ,"22,702,680 "
1 ,11.00 ,1.00 ,120060.00 ,15.00 ,1.20 ,"23,771,880 "
1 ,17.00 ,1.00 ,146544.00 ,15.00 ,1.20 ,"44,842,464 "
1 ,18.00 ,1.00 ,141910.00 ,15.00 ,1.20 ,"45,978,840 "
1 ,16.00 ,1.00 ,124425.00 ,15.00 ,1.20 ,"35,834,400 "
1 ,14.00 ,1.00 ,139968.00 ,15.00 ,1.20 ,"35,271,936 "
1 ,16.00 ,1.00 ,123980.00 ,15.00 ,1.20 ,"35,706,240 "
1 ,18.00 ,1.00 ,117789.00 ,15.00 ,1.20 ,"38,163,636 "
1 ,13.00 ,1.00 ,121572.00 ,15.00 ,1.20 ,"28,447,848 "
1 ,12.00 ,1.00 ,130632.00 ,15.00 ,1.20 ,"28,216,512 "
1 ,17.00 ,1.00 ,132396.00 ,15.00 ,1.20 ,"40,513,176 "
1 ,15.00 ,1.00 ,121086.00 ,15.00 ,1.20 ,"32,693,220 "
1 ,12.00 ,1.00 ,117663.00 ,15.00 ,1.20 ,"25,415,208 "
1 ,15.00 ,1.00 ,129294.00 ,15.00 ,1.20 ,"34,909,380 "
1 ,16.00 ,1.00 ,138529.00 ,15.00 ,1.20 ,"39,896,352 "
1 ,17.00 ,1.00 ,143428.00 ,15.00 ,1.20 ,"43,888,968 "
1 ,14.00 ,1.00 ,142140.00 ,15.00 ,1.20 ,"35,819,280 "
1 ,10.00 ,1.00 ,117200.00 ,15.00 ,1.20 ,"21,096,000 "
1 ,14.00 ,1.00 ,129536.00 ,15.00 ,1.20 ,"32,643,072 "
1 ,12.00 ,1.00 ,113841.00 ,15.00 ,1.20 ,"24,589,656 "
1 ,17.00 ,1.00 ,151056.00 ,15.00 ,1.20 ,"46,223,136 "
1 ,19.00 ,1.00 ,123596.00 ,15.00 ,1.20 ,"42,269,832 "
1 ,11.00 ,1.00 ,111400.00 ,15.00 ,1.20 ,"22,057,200 "
1 ,15.00 ,1.00 ,131215.00 ,15.00 ,1.20 ,"35,428,050 "
1 ,19.00 ,1.00 ,134527.00 ,15.00 ,1.20 ,"46,008,234 "
1 ,14.00 ,1.00 ,142761.00 ,15.00 ,1.20 ,"35,975,772 "
1 ,17.00 ,1.00 ,126937.00 ,15.00 ,1.20 ,"38,842,722 "
1 ,12.00 ,1.00 ,119980.00 ,15.00 ,1.20 ,"25,915,680 "
1 ,10.00 ,1.00 ,131252.00 ,15.00 ,1.20 ,"23,625,360 "
1 ,19.00 ,1.00 ,122260.00 ,15.00 ,1.20 ,"41,812,920 "
1 ,17.00 ,1.00 ,121280.00 ,15.00 ,1.20 ,"37,111,680 "
1 ,16.00 ,1.00 ,127512.00 ,15.00 ,1.20 ,"36,723,456 "
