실험회수,드론의 높이(m), 풍속(m?s), 드론발전기최대전력(w),드른중량(Kg),밧데리방전율,   농약살포 효율성(면적)(ha) 
1 ,13.00 ,1.00 ,150048.00 ,15.00 ,1.20 ,"35,111,232 "
1 ,13.00 ,1.00 ,120758.00 ,15.00 ,1.20 ,"28,257,372 "
1 ,15.00 ,1.00 ,120015.00 ,15.00 ,1.20 ,"32,404,050 "
1 ,14.00 ,1.00 ,140784.00 ,15.00 ,1.20 ,"35,477,568 "
1 ,19.00 ,1.00 ,141404.00 ,15.00 ,1.20 ,"48,360,168 "
1 ,18.00 ,1.00 ,118020.00 ,15.00 ,1.20 ,"38,238,480 "
1 ,13.00 ,1.00 ,119784.00 ,15.00 ,1.20 ,"28,029,456 "
1 ,20.00 ,1.00 ,112460.00 ,15.00 ,1.20 ,"40,485,600 "
1 ,20.00 ,1.00 ,114680.00 ,15.00 ,1.20 ,"41,284,800 "
1 ,13.00 ,1.00 ,115480.00 ,15.00 ,1.20 ,"27,022,320 "
1 ,20.00 ,1.00 ,122820.00 ,15.00 ,1.20 ,"44,215,200 "
1 ,18.00 ,1.00 ,122598.00 ,15.00 ,1.20 ,"39,721,752 "
1 ,11.00 ,1.00 ,125118.00 ,15.00 ,1.20 ,"24,773,364 "
1 ,20.00 ,1.00 ,128260.00 ,15.00 ,1.20 ,"46,173,600 "
1 ,11.00 ,1.00 ,120420.00 ,15.00 ,1.20 ,"23,843,160 "
1 ,12.00 ,1.00 ,139176.00 ,15.00 ,1.20 ,"30,062,016 "
1 ,11.00 ,1.00 ,126522.00 ,15.00 ,1.20 ,"25,051,356 "
1 ,14.00 ,1.00 ,117880.00 ,15.00 ,1.20 ,"29,705,760 "
1 ,12.00 ,1.00 ,147024.00 ,15.00 ,1.20 ,"31,757,184 "
1 ,12.00 ,1.00 ,132687.00 ,15.00 ,1.20 ,"28,660,392 "
1 ,20.00 ,1.00 ,124887.00 ,15.00 ,1.20 ,"44,959,320 "
1 ,11.00 ,1.00 ,148704.00 ,15.00 ,1.20 ,"29,443,392 "
1 ,13.00 ,1.00 ,128524.00 ,15.00 ,1.20 ,"30,074,616 "
1 ,15.00 ,1.00 ,135815.00 ,15.00 ,1.20 ,"36,670,050 "
1 ,12.00 ,1.00 ,146088.00 ,15.00 ,1.20 ,"31,555,008 "
1 ,16.00 ,1.00 ,126293.00 ,15.00 ,1.20 ,"36,372,384 "
1 ,12.00 ,1.00 ,148464.00 ,15.00 ,1.20 ,"32,068,224 "
1 ,19.00 ,1.00 ,127323.00 ,15.00 ,1.20 ,"43,544,466 "
1 ,12.00 ,1.00 ,136488.00 ,15.00 ,1.20 ,"29,481,408 "
1 ,14.00 ,1.00 ,129118.00 ,15.00 ,1.20 ,"32,537,736 "
1 ,17.00 ,1.00 ,137112.00 ,15.00 ,1.20 ,"41,956,272 "
1 ,11.00 ,1.00 ,149280.00 ,15.00 ,1.20 ,"29,557,440 "
1 ,16.00 ,1.00 ,130440.00 ,15.00 ,1.20 ,"37,566,720 "
1 ,18.00 ,1.00 ,134816.00 ,15.00 ,1.20 ,"43,680,384 "
1 ,17.00 ,1.00 ,114160.00 ,15.00 ,1.20 ,"34,932,960 "
1 ,18.00 ,1.00 ,120120.00 ,15.00 ,1.20 ,"38,918,880 "
1 ,10.00 ,1.00 ,142140.00 ,15.00 ,1.20 ,"25,585,200 "
1 ,16.00 ,1.00 ,144647.00 ,15.00 ,1.20 ,"41,658,336 "
1 ,15.00 ,1.00 ,141624.00 ,15.00 ,1.20 ,"38,238,480 "
1 ,10.00 ,1.00 ,125265.00 ,15.00 ,1.20 ,"22,547,700 "
1 ,10.00 ,1.00 ,147792.00 ,15.00 ,1.20 ,"26,602,560 "
1 ,17.00 ,1.00 ,139196.00 ,15.00 ,1.20 ,"42,593,976 "
1 ,15.00 ,1.00 ,115458.00 ,15.00 ,1.20 ,"31,173,660 "
1 ,12.00 ,1.00 ,137736.00 ,15.00 ,1.20 ,"29,750,976 "
1 ,10.00 ,1.00 ,125097.00 ,15.00 ,1.20 ,"22,517,460 "
1 ,13.00 ,1.00 ,144716.00 ,15.00 ,1.20 ,"33,863,544 "
1 ,16.00 ,1.00 ,122320.00 ,15.00 ,1.20 ,"35,228,160 "
1 ,14.00 ,1.00 ,127701.00 ,15.00 ,1.20 ,"32,180,652 "
1 ,14.00 ,1.00 ,130851.00 ,15.00 ,1.20 ,"32,974,452 "
1 ,18.00 ,1.00 ,121275.00 ,15.00 ,1.20 ,"39,293,100 "
1 ,14.00 ,1.00 ,111160.00 ,15.00 ,1.20 ,"28,012,320 "
1 ,10.00 ,1.00 ,128216.00 ,15.00 ,1.20 ,"23,078,880 "
1 ,17.00 ,1.00 ,143208.00 ,15.00 ,1.20 ,"43,821,648 "
1 ,11.00 ,1.00 ,129672.00 ,15.00 ,1.20 ,"25,675,056 "
1 ,11.00 ,1.00 ,121065.00 ,15.00 ,1.20 ,"23,970,870 "
1 ,15.00 ,1.00 ,115960.00 ,15.00 ,1.20 ,"31,309,200 "
1 ,13.00 ,1.00 ,128568.00 ,15.00 ,1.20 ,"30,084,912 "
1 ,15.00 ,1.00 ,149280.00 ,15.00 ,1.20 ,"40,305,600 "
1 ,14.00 ,1.00 ,139896.00 ,15.00 ,1.20 ,"35,253,792 "
1 ,12.00 ,1.00 ,138805.00 ,15.00 ,1.20 ,"29,981,880 "
1 ,15.00 ,1.00 ,143888.00 ,15.00 ,1.20 ,"38,849,760 "
1 ,17.00 ,1.00 ,111220.00 ,15.00 ,1.20 ,"34,033,320 "
1 ,15.00 ,1.00 ,124212.00 ,15.00 ,1.20 ,"33,537,240 "
1 ,20.00 ,1.00 ,141096.00 ,15.00 ,1.20 ,"50,794,560 "
1 ,13.00 ,1.00 ,123940.00 ,15.00 ,1.20 ,"29,001,960 "
1 ,11.00 ,1.00 ,121638.00 ,15.00 ,1.20 ,"24,084,324 "
1 ,10.00 ,1.00 ,143543.00 ,15.00 ,1.20 ,"25,837,740 "
1 ,11.00 ,1.00 ,127407.00 ,15.00 ,1.20 ,"25,226,586 "
1 ,13.00 ,1.00 ,124840.00 ,15.00 ,1.20 ,"29,212,560 "
1 ,19.00 ,1.00 ,120700.00 ,15.00 ,1.20 ,"41,279,400 "
1 ,20.00 ,1.00 ,115458.00 ,15.00 ,1.20 ,"41,564,880 "
1 ,11.00 ,1.00 ,127834.00 ,15.00 ,1.20 ,"25,311,132 "
1 ,17.00 ,1.00 ,124152.00 ,15.00 ,1.20 ,"37,990,512 "
1 ,10.00 ,1.00 ,125422.00 ,15.00 ,1.20 ,"22,575,960 "
1 ,19.00 ,1.00 ,111880.00 ,15.00 ,1.20 ,"38,262,960 "
1 ,14.00 ,1.00 ,123753.00 ,15.00 ,1.20 ,"31,185,756 "
1 ,13.00 ,1.00 ,138792.00 ,15.00 ,1.20 ,"32,477,328 "
1 ,20.00 ,1.00 ,127908.00 ,15.00 ,1.20 ,"46,046,880 "
1 ,19.00 ,1.00 ,131560.00 ,15.00 ,1.20 ,"44,993,520 "
1 ,13.00 ,1.00 ,125718.00 ,15.00 ,1.20 ,"29,418,012 "
1 ,15.00 ,1.00 ,120057.00 ,15.00 ,1.20 ,"32,415,390 "
1 ,17.00 ,1.00 ,116529.00 ,15.00 ,1.20 ,"35,657,874 "
1 ,15.00 ,1.00 ,125200.00 ,15.00 ,1.20 ,"33,804,000 "
1 ,18.00 ,1.00 ,118120.00 ,15.00 ,1.20 ,"38,270,880 "
1 ,18.00 ,1.00 ,125740.00 ,15.00 ,1.20 ,"40,739,760 "
1 ,11.00 ,1.00 ,144739.00 ,15.00 ,1.20 ,"28,658,322 "
1 ,17.00 ,1.00 ,130318.00 ,15.00 ,1.20 ,"39,877,308 "
1 ,16.00 ,1.00 ,130966.00 ,15.00 ,1.20 ,"37,718,208 "
1 ,15.00 ,1.00 ,114618.00 ,15.00 ,1.20 ,"30,946,860 "
1 ,18.00 ,1.00 ,130284.00 ,15.00 ,1.20 ,"42,212,016 "
1 ,12.00 ,1.00 ,128869.00 ,15.00 ,1.20 ,"27,835,704 "
1 ,10.00 ,1.00 ,132192.00 ,15.00 ,1.20 ,"23,794,560 "
1 ,14.00 ,1.00 ,129338.00 ,15.00 ,1.20 ,"32,593,176 "
1 ,20.00 ,1.00 ,136092.00 ,15.00 ,1.20 ,"48,993,120 "
1 ,16.00 ,1.00 ,114560.00 ,15.00 ,1.20 ,"32,993,280 "
1 ,15.00 ,1.00 ,120648.00 ,15.00 ,1.20 ,"32,574,960 "
1 ,18.00 ,1.00 ,126315.00 ,15.00 ,1.20 ,"40,926,060 "
1 ,14.00 ,1.00 ,132237.00 ,15.00 ,1.20 ,"33,323,724 "
1 ,14.00 ,1.00 ,129536.00 ,15.00 ,1.20 ,"32,643,072 "
1 ,14.00 ,1.00 ,136229.00 ,15.00 ,1.20 ,"34,329,708 "
1 ,19.00 ,1.00 ,135470.00 ,15.00 ,1.20 ,"46,330,740 "
1 ,17.00 ,1.00 ,118314.00 ,15.00 ,1.20 ,"36,204,084 "
1 ,15.00 ,1.00 ,132330.00 ,15.00 ,1.20 ,"35,729,100 "
1 ,15.00 ,1.00 ,116160.00 ,15.00 ,1.20 ,"31,363,200 "
1 ,13.00 ,1.00 ,130262.00 ,15.00 ,1.20 ,"30,481,308 "
1 ,12.00 ,1.00 ,139656.00 ,15.00 ,1.20 ,"30,165,696 "
1 ,11.00 ,1.00 ,109760.00 ,15.00 ,1.20 ,"21,732,480 "
1 ,13.00 ,1.00 ,109540.00 ,15.00 ,1.20 ,"25,632,360 "
1 ,18.00 ,1.00 ,124960.00 ,15.00 ,1.20 ,"40,487,040 "
1 ,14.00 ,1.00 ,139368.00 ,15.00 ,1.20 ,"35,120,736 "
1 ,18.00 ,1.00 ,129507.00 ,15.00 ,1.20 ,"41,960,268 "
1 ,11.00 ,1.00 ,126983.00 ,15.00 ,1.20 ,"25,142,634 "
1 ,12.00 ,1.00 ,131964.00 ,15.00 ,1.20 ,"28,504,224 "
1 ,12.00 ,1.00 ,125114.00 ,15.00 ,1.20 ,"27,024,624 "
1 ,15.00 ,1.00 ,137126.00 ,15.00 ,1.20 ,"37,024,020 "
1 ,15.00 ,1.00 ,121170.00 ,15.00 ,1.20 ,"32,715,900 "
1 ,20.00 ,1.00 ,131882.00 ,15.00 ,1.20 ,"47,477,520 "
1 ,18.00 ,1.00 ,113260.00 ,15.00 ,1.20 ,"36,696,240 "
1 ,17.00 ,1.00 ,125327.00 ,15.00 ,1.20 ,"38,350,062 "
1 ,20.00 ,1.00 ,131010.00 ,15.00 ,1.20 ,"47,163,600 "
1 ,19.00 ,1.00 ,135312.00 ,15.00 ,1.20 ,"46,276,704 "
1 ,17.00 ,1.00 ,124593.00 ,15.00 ,1.20 ,"38,125,458 "
1 ,20.00 ,1.00 ,129171.00 ,15.00 ,1.20 ,"46,501,560 "
1 ,11.00 ,1.00 ,122408.00 ,15.00 ,1.20 ,"24,236,784 "
1 ,18.00 ,1.00 ,140553.00 ,15.00 ,1.20 ,"45,539,172 "
1 ,12.00 ,1.00 ,123280.00 ,15.00 ,1.20 ,"26,628,480 "
1 ,12.00 ,1.00 ,132000.00 ,15.00 ,1.20 ,"28,512,000 "
1 ,20.00 ,1.00 ,136229.00 ,15.00 ,1.20 ,"49,042,440 "
1 ,12.00 ,1.00 ,142560.00 ,15.00 ,1.20 ,"30,792,960 "
1 ,10.00 ,1.00 ,121572.00 ,15.00 ,1.20 ,"21,882,960 "
1 ,19.00 ,1.00 ,111160.00 ,15.00 ,1.20 ,"38,016,720 "
1 ,18.00 ,1.00 ,143750.00 ,15.00 ,1.20 ,"46,575,000 "
1 ,19.00 ,1.00 ,118167.00 ,15.00 ,1.20 ,"40,413,114 "
1 ,14.00 ,1.00 ,142296.00 ,15.00 ,1.20 ,"35,858,592 "
1 ,10.00 ,1.00 ,140645.00 ,15.00 ,1.20 ,"25,316,100 "
1 ,10.00 ,1.00 ,120340.00 ,15.00 ,1.20 ,"21,661,200 "
1 ,12.00 ,1.00 ,117980.00 ,15.00 ,1.20 ,"25,483,680 "
1 ,20.00 ,1.00 ,141381.00 ,15.00 ,1.20 ,"50,897,160 "
1 ,11.00 ,1.00 ,128961.00 ,15.00 ,1.20 ,"25,534,278 "
1 ,10.00 ,1.00 ,124146.00 ,15.00 ,1.20 ,"22,346,280 "
1 ,20.00 ,1.00 ,141816.00 ,15.00 ,1.20 ,"51,053,760 "
1 ,10.00 ,1.00 ,136320.00 ,15.00 ,1.20 ,"24,537,600 "
1 ,16.00 ,1.00 ,130617.00 ,15.00 ,1.20 ,"37,617,696 "
1 ,15.00 ,1.00 ,130548.00 ,15.00 ,1.20 ,"35,247,960 "
1 ,14.00 ,1.00 ,131628.00 ,15.00 ,1.20 ,"33,170,256 "
1 ,17.00 ,1.00 ,131744.00 ,15.00 ,1.20 ,"40,313,664 "
1 ,13.00 ,1.00 ,129465.00 ,15.00 ,1.20 ,"30,294,810 "
1 ,19.00 ,1.00 ,112480.00 ,15.00 ,1.20 ,"38,468,160 "
1 ,20.00 ,1.00 ,125740.00 ,15.00 ,1.20 ,"45,266,400 "
1 ,10.00 ,1.00 ,121044.00 ,15.00 ,1.20 ,"21,787,920 "
1 ,12.00 ,1.00 ,145704.00 ,15.00 ,1.20 ,"31,472,064 "
1 ,16.00 ,1.00 ,126324.00 ,15.00 ,1.20 ,"36,381,312 "
1 ,11.00 ,1.00 ,128590.00 ,15.00 ,1.20 ,"25,460,820 "
1 ,10.00 ,1.00 ,127468.00 ,15.00 ,1.20 ,"22,944,240 "
1 ,14.00 ,1.00 ,115260.00 ,15.00 ,1.20 ,"29,045,520 "
1 ,19.00 ,1.00 ,135344.00 ,15.00 ,1.20 ,"46,287,648 "
1 ,10.00 ,1.00 ,117138.00 ,15.00 ,1.20 ,"21,084,840 "
1 ,15.00 ,1.00 ,146640.00 ,15.00 ,1.20 ,"39,592,800 "
1 ,20.00 ,1.00 ,129612.00 ,15.00 ,1.20 ,"46,660,320 "
1 ,11.00 ,1.00 ,130328.00 ,15.00 ,1.20 ,"25,804,944 "
1 ,11.00 ,1.00 ,111320.00 ,15.00 ,1.20 ,"22,041,360 "
1 ,20.00 ,1.00 ,119580.00 ,15.00 ,1.20 ,"43,048,800 "
1 ,11.00 ,1.00 ,127491.00 ,15.00 ,1.20 ,"25,243,218 "
1 ,14.00 ,1.00 ,128709.00 ,15.00 ,1.20 ,"32,434,668 "
1 ,17.00 ,1.00 ,116865.00 ,15.00 ,1.20 ,"35,760,690 "
1 ,10.00 ,1.00 ,108040.00 ,15.00 ,1.20 ,"19,447,200 "
1 ,12.00 ,1.00 ,134872.00 ,15.00 ,1.20 ,"29,132,352 "
1 ,10.00 ,1.00 ,118260.00 ,15.00 ,1.20 ,"21,286,800 "
1 ,18.00 ,1.00 ,127722.00 ,15.00 ,1.20 ,"41,381,928 "
1 ,16.00 ,1.00 ,127732.00 ,15.00 ,1.20 ,"36,786,816 "
1 ,12.00 ,1.00 ,135907.00 ,15.00 ,1.20 ,"29,355,912 "
1 ,19.00 ,1.00 ,112020.00 ,15.00 ,1.20 ,"38,310,840 "
1 ,13.00 ,1.00 ,137896.00 ,15.00 ,1.20 ,"32,267,664 "
1 ,17.00 ,1.00 ,132968.00 ,15.00 ,1.20 ,"40,688,208 "
1 ,13.00 ,1.00 ,130482.00 ,15.00 ,1.20 ,"30,532,788 "
1 ,20.00 ,1.00 ,127050.00 ,15.00 ,1.20 ,"45,738,000 "
1 ,11.00 ,1.00 ,112860.00 ,15.00 ,1.20 ,"22,346,280 "
1 ,20.00 ,1.00 ,150960.00 ,15.00 ,1.20 ,"54,345,600 "
1 ,17.00 ,1.00 ,140967.00 ,15.00 ,1.20 ,"43,135,902 "
1 ,16.00 ,1.00 ,127336.00 ,15.00 ,1.20 ,"36,672,768 "
1 ,20.00 ,1.00 ,126962.00 ,15.00 ,1.20 ,"45,706,320 "
1 ,12.00 ,1.00 ,125307.00 ,15.00 ,1.20 ,"27,066,312 "
1 ,20.00 ,1.00 ,138072.00 ,15.00 ,1.20 ,"49,705,920 "
1 ,19.00 ,1.00 ,144532.00 ,15.00 ,1.20 ,"49,429,944 "
1 ,18.00 ,1.00 ,133008.00 ,15.00 ,1.20 ,"43,094,592 "
1 ,15.00 ,1.00 ,124880.00 ,15.00 ,1.20 ,"33,717,600 "
1 ,20.00 ,1.00 ,110520.00 ,15.00 ,1.20 ,"39,787,200 "
1 ,18.00 ,1.00 ,133440.00 ,15.00 ,1.20 ,"43,234,560 "
1 ,19.00 ,1.00 ,141648.00 ,15.00 ,1.20 ,"48,443,616 "
1 ,20.00 ,1.00 ,122040.00 ,15.00 ,1.20 ,"43,934,400 "
1 ,12.00 ,1.00 ,123648.00 ,15.00 ,1.20 ,"26,707,968 "
1 ,12.00 ,1.00 ,138552.00 ,15.00 ,1.20 ,"29,927,232 "
1 ,19.00 ,1.00 ,128386.00 ,15.00 ,1.20 ,"43,908,012 "
1 ,12.00 ,1.00 ,137126.00 ,15.00 ,1.20 ,"29,619,216 "
1 ,16.00 ,1.00 ,149136.00 ,15.00 ,1.20 ,"42,951,168 "
1 ,12.00 ,1.00 ,130704.00 ,15.00 ,1.20 ,"28,232,064 "
1 ,18.00 ,1.00 ,120330.00 ,15.00 ,1.20 ,"38,986,920 "
1 ,11.00 ,1.00 ,130548.00 ,15.00 ,1.20 ,"25,848,504 "
1 ,12.00 ,1.00 ,124432.00 ,15.00 ,1.20 ,"26,877,312 "
1 ,20.00 ,1.00 ,113800.00 ,15.00 ,1.20 ,"40,968,000 "
1 ,18.00 ,1.00 ,128964.00 ,15.00 ,1.20 ,"41,784,336 "
1 ,19.00 ,1.00 ,133262.00 ,15.00 ,1.20 ,"45,575,604 "
1 ,11.00 ,1.00 ,122700.00 ,15.00 ,1.20 ,"24,294,600 "
1 ,16.00 ,1.00 ,133768.00 ,15.00 ,1.20 ,"38,525,184 "
1 ,10.00 ,1.00 ,115584.00 ,15.00 ,1.20 ,"20,805,120 "
1 ,12.00 ,1.00 ,130218.00 ,15.00 ,1.20 ,"28,127,088 "
1 ,18.00 ,1.00 ,118461.00 ,15.00 ,1.20 ,"38,381,364 "
1 ,18.00 ,1.00 ,142968.00 ,15.00 ,1.20 ,"46,321,632 "
1 ,13.00 ,1.00 ,150552.00 ,15.00 ,1.20 ,"35,229,168 "
1 ,15.00 ,1.00 ,140568.00 ,15.00 ,1.20 ,"37,953,360 "
1 ,17.00 ,1.00 ,135938.00 ,15.00 ,1.20 ,"41,597,028 "
1 ,19.00 ,1.00 ,116487.00 ,15.00 ,1.20 ,"39,838,554 "
1 ,11.00 ,1.00 ,134596.00 ,15.00 ,1.20 ,"26,650,008 "
1 ,18.00 ,1.00 ,134320.00 ,15.00 ,1.20 ,"43,519,680 "
1 ,20.00 ,1.00 ,136664.00 ,15.00 ,1.20 ,"49,199,040 "
1 ,19.00 ,1.00 ,134544.00 ,15.00 ,1.20 ,"46,014,048 "
1 ,20.00 ,1.00 ,133440.00 ,15.00 ,1.20 ,"48,038,400 "
1 ,12.00 ,1.00 ,140520.00 ,15.00 ,1.20 ,"30,352,320 "
1 ,18.00 ,1.00 ,119560.00 ,15.00 ,1.20 ,"38,737,440 "
1 ,11.00 ,1.00 ,110740.00 ,15.00 ,1.20 ,"21,926,520 "
1 ,14.00 ,1.00 ,131406.00 ,15.00 ,1.20 ,"33,114,312 "
1 ,19.00 ,1.00 ,114198.00 ,15.00 ,1.20 ,"39,055,716 "
1 ,16.00 ,1.00 ,129150.00 ,15.00 ,1.20 ,"37,195,200 "
1 ,13.00 ,1.00 ,112860.00 ,15.00 ,1.20 ,"26,409,240 "
1 ,10.00 ,1.00 ,117380.00 ,15.00 ,1.20 ,"21,128,400 "
1 ,20.00 ,1.00 ,125764.00 ,15.00 ,1.20 ,"45,275,040 "
1 ,15.00 ,1.00 ,122820.00 ,15.00 ,1.20 ,"33,161,400 "
1 ,19.00 ,1.00 ,110520.00 ,15.00 ,1.20 ,"37,797,840 "
1 ,17.00 ,1.00 ,120880.00 ,15.00 ,1.20 ,"36,989,280 "
1 ,10.00 ,1.00 ,128150.00 ,15.00 ,1.20 ,"23,067,000 "
1 ,19.00 ,1.00 ,150696.00 ,15.00 ,1.20 ,"51,538,032 "
1 ,12.00 ,1.00 ,148104.00 ,15.00 ,1.20 ,"31,990,464 "
1 ,16.00 ,1.00 ,122078.00 ,15.00 ,1.20 ,"35,158,464 "
1 ,17.00 ,1.00 ,140856.00 ,15.00 ,1.20 ,"43,101,936 "
1 ,14.00 ,1.00 ,144024.00 ,15.00 ,1.20 ,"36,294,048 "
1 ,11.00 ,1.00 ,127903.00 ,15.00 ,1.20 ,"25,324,794 "
1 ,20.00 ,1.00 ,123640.00 ,15.00 ,1.20 ,"44,510,400 "
1 ,16.00 ,1.00 ,126799.00 ,15.00 ,1.20 ,"36,518,112 "
1 ,16.00 ,1.00 ,135960.00 ,15.00 ,1.20 ,"39,156,480 "
1 ,12.00 ,1.00 ,139196.00 ,15.00 ,1.20 ,"30,066,336 "
1 ,20.00 ,1.00 ,121359.00 ,15.00 ,1.20 ,"43,689,240 "
1 ,18.00 ,1.00 ,111060.00 ,15.00 ,1.20 ,"35,983,440 "
1 ,14.00 ,1.00 ,115164.00 ,15.00 ,1.20 ,"29,021,328 "
1 ,11.00 ,1.00 ,134544.00 ,15.00 ,1.20 ,"26,639,712 "
1 ,14.00 ,1.00 ,139863.00 ,15.00 ,1.20 ,"35,245,476 "
1 ,12.00 ,1.00 ,126808.00 ,15.00 ,1.20 ,"27,390,528 "
1 ,18.00 ,1.00 ,141720.00 ,15.00 ,1.20 ,"45,917,280 "
1 ,17.00 ,1.00 ,129250.00 ,15.00 ,1.20 ,"39,550,500 "
1 ,10.00 ,1.00 ,126735.00 ,15.00 ,1.20 ,"22,812,300 "
1 ,18.00 ,1.00 ,136444.00 ,15.00 ,1.20 ,"44,207,856 "
1 ,18.00 ,1.00 ,121286.00 ,15.00 ,1.20 ,"39,296,664 "
1 ,12.00 ,1.00 ,121700.00 ,15.00 ,1.20 ,"26,287,200 "
1 ,15.00 ,1.00 ,131775.00 ,15.00 ,1.20 ,"35,579,250 "
1 ,13.00 ,1.00 ,125356.00 ,15.00 ,1.20 ,"29,333,304 "
1 ,12.00 ,1.00 ,123970.00 ,15.00 ,1.20 ,"26,777,520 "
1 ,10.00 ,1.00 ,114660.00 ,15.00 ,1.20 ,"20,638,800 "
1 ,11.00 ,1.00 ,120060.00 ,15.00 ,1.20 ,"23,771,880 "
1 ,20.00 ,1.00 ,146544.00 ,15.00 ,1.20 ,"52,755,840 "
1 ,18.00 ,1.00 ,141910.00 ,15.00 ,1.20 ,"45,978,840 "
1 ,11.00 ,1.00 ,124425.00 ,15.00 ,1.20 ,"24,636,150 "
1 ,14.00 ,1.00 ,139968.00 ,15.00 ,1.20 ,"35,271,936 "
1 ,11.00 ,1.00 ,123980.00 ,15.00 ,1.20 ,"24,548,040 "
1 ,13.00 ,1.00 ,117789.00 ,15.00 ,1.20 ,"27,562,626 "
1 ,17.00 ,1.00 ,121572.00 ,15.00 ,1.20 ,"37,201,032 "
1 ,13.00 ,1.00 ,130632.00 ,15.00 ,1.20 ,"30,567,888 "
1 ,16.00 ,1.00 ,132396.00 ,15.00 ,1.20 ,"38,130,048 "
1 ,14.00 ,1.00 ,121086.00 ,15.00 ,1.20 ,"30,513,672 "
1 ,17.00 ,1.00 ,117663.00 ,15.00 ,1.20 ,"36,004,878 "
1 ,17.00 ,1.00 ,129294.00 ,15.00 ,1.20 ,"39,563,964 "
1 ,12.00 ,1.00 ,138529.00 ,15.00 ,1.20 ,"29,922,264 "
1 ,10.00 ,1.00 ,143428.00 ,15.00 ,1.20 ,"25,817,040 "
1 ,15.00 ,1.00 ,142140.00 ,15.00 ,1.20 ,"38,377,800 "
1 ,20.00 ,1.00 ,117200.00 ,15.00 ,1.20 ,"42,192,000 "
1 ,19.00 ,1.00 ,129536.00 ,15.00 ,1.20 ,"44,301,312 "
1 ,17.00 ,1.00 ,113841.00 ,15.00 ,1.20 ,"34,835,346 "
1 ,20.00 ,1.00 ,151056.00 ,15.00 ,1.20 ,"54,380,160 "
1 ,13.00 ,1.00 ,123596.00 ,15.00 ,1.20 ,"28,921,464 "
1 ,12.00 ,1.00 ,111400.00 ,15.00 ,1.20 ,"24,062,400 "
1 ,15.00 ,1.00 ,131215.00 ,15.00 ,1.20 ,"35,428,050 "
1 ,14.00 ,1.00 ,134527.00 ,15.00 ,1.20 ,"33,900,804 "
1 ,11.00 ,1.00 ,142761.00 ,15.00 ,1.20 ,"28,266,678 "
1 ,19.00 ,1.00 ,126937.00 ,15.00 ,1.20 ,"43,412,454 "
1 ,20.00 ,1.00 ,119980.00 ,15.00 ,1.20 ,"43,192,800 "
1 ,10.00 ,1.00 ,131252.00 ,15.00 ,1.20 ,"23,625,360 "
1 ,12.00 ,1.00 ,122260.00 ,15.00 ,1.20 ,"26,408,160 "
1 ,16.00 ,1.00 ,121280.00 ,15.00 ,1.20 ,"34,928,640 "
1 ,16.00 ,1.00 ,127512.00 ,15.00 ,1.20 ,"36,723,456 "
