,정격전압(V)370~390,정격전류(A)52~82,최대전력(w),주파수지수 *10, 전자파지수(TG)  
2020-8-1 19:30,384.23 ,56.20 ,21594.51 ,2.15945E-05, 0.46632285 
2020-8-1 19:45,386.90 ,74.57 ,28851.19 ,2.88512E-05, 0.83239142 
2020-8-1 20:00,378.64 ,66.51 ,25182.68 ,2.51827E-05, 0.63416757 
2020-8-1 20:15,389.60 ,67.40 ,26259.54 ,2.62595E-05, 0.68956347 
2020-8-1 20:30,380.21 ,78.23 ,29742.19 ,2.97422E-05, 0.88459804 
2020-8-1 20:45,371.32 ,69.28 ,25724.96 ,2.57250E-05, 0.66177373 
2020-8-1 21:00,376.68 ,74.10 ,27911.20 ,2.79112E-05, 0.77903535 
2020-8-1 21:15,382.19 ,74.99 ,28660.30 ,2.86603E-05, 0.82141264 
2020-8-1 21:30,377.39 ,52.88 ,19956.19 ,1.99562E-05, 0.39824964 
2020-8-1 21:45,377.02 ,73.93 ,27873.75 ,2.78738E-05, 0.77694597 
2020-8-1 22:00,376.02 ,77.37 ,29092.97 ,2.90930E-05, 0.84640105 
2020-8-1 22:15,378.61 ,75.85 ,28715.77 ,2.87158E-05, 0.82459564 
2020-8-1 22:30,385.77 ,69.46 ,26797.43 ,2.67974E-05, 0.71810252 
2020-8-1 22:45,384.81 ,71.22 ,27404.60 ,2.74046E-05, 0.75101185 
2020-8-1 23:00,376.45 ,79.73 ,30015.85 ,3.00158E-05, 0.90095095 
2020-8-1 23:15,374.75 ,63.67 ,23861.92 ,2.38619E-05, 0.56939123 
2020-8-1 23:30,381.65 ,59.99 ,22893.63 ,2.28936E-05, 0.52411824 
2020-8-1 23:45,387.69 ,70.07 ,27166.54 ,2.71665E-05, 0.73802095 
2020-8-2 0:00,383.00 ,68.06 ,26067.54 ,2.60675E-05, 0.67951670 
2020-8-2 0:15,378.09 ,74.15 ,28036.42 ,2.80364E-05, 0.78604105 
2020-8-2 0:30,380.61 ,70.05 ,26661.33 ,2.66613E-05, 0.71082667 
2020-8-2 0:45,375.12 ,78.91 ,29600.47 ,2.96005E-05, 0.87618772 
2020-8-2 0:59,371.64 ,62.70 ,23300.59 ,2.33006E-05, 0.54291771 
2020-8-2 1:14,380.42 ,69.73 ,26525.65 ,2.65257E-05, 0.70361033 
2020-8-2 1:29,387.13 ,72.69 ,28140.72 ,2.81407E-05, 0.79190038 
2020-8-2 1:44,376.66 ,66.49 ,25045.76 ,2.50458E-05, 0.62729026 
2020-8-2 1:59,371.27 ,78.94 ,29307.57 ,2.93076E-05, 0.85893355 
2020-8-2 2:14,382.23 ,77.72 ,29708.38 ,2.97084E-05, 0.88258775 
2020-8-2 2:29,379.99 ,80.06 ,30423.02 ,3.04230E-05, 0.92556027 
2020-8-2 2:44,372.18 ,69.64 ,25919.61 ,2.59196E-05, 0.67182595 
2020-8-2 2:59,372.14 ,72.16 ,26855.19 ,2.68552E-05, 0.72120113 
2020-8-2 3:14,383.09 ,70.27 ,26921.42 ,2.69214E-05, 0.72476304 
2020-8-2 3:29,371.51 ,62.04 ,23049.75 ,2.30498E-05, 0.53129103 
2020-8-2 3:44,377.87 ,80.17 ,30293.95 ,3.02940E-05, 0.91772361 
2020-8-2 3:59,387.96 ,73.87 ,28657.49 ,2.86575E-05, 0.82125158 
2020-8-2 4:14,373.03 ,66.84 ,24932.24 ,2.49322E-05, 0.62161679 
2020-8-2 4:29,389.63 ,55.59 ,21660.11 ,2.16601E-05, 0.46916058 
2020-8-2 4:44,378.66 ,77.05 ,29175.82 ,2.91758E-05, 0.85122871 
2020-8-2 4:59,377.05 ,59.47 ,22424.79 ,2.24248E-05, 0.50287123 
2020-8-2 5:14,376.87 ,64.87 ,24447.85 ,2.44478E-05, 0.59769728 
2020-8-2 5:29,381.96 ,63.35 ,24198.74 ,2.41987E-05, 0.58557884 
2020-8-2 5:44,376.62 ,70.55 ,26570.54 ,2.65705E-05, 0.70599364 
2020-8-2 5:59,373.70 ,78.12 ,29194.22 ,2.91942E-05, 0.85230236 
2020-8-2 6:14,377.25 ,79.22 ,29884.77 ,2.98848E-05, 0.89309964 
2020-8-2 6:29,371.82 ,64.45 ,23964.00 ,2.39640E-05, 0.57427352 
2020-8-2 6:44,389.18 ,60.76 ,23647.50 ,2.36475E-05, 0.55920418 
2020-8-2 6:59,380.17 ,76.86 ,29221.03 ,2.92210E-05, 0.85386856 
2020-8-2 7:14,388.75 ,61.10 ,23753.10 ,2.37531E-05, 0.56420982 
2020-8-2 7:29,377.00 ,64.66 ,24376.22 ,2.43762E-05, 0.59420034 
2020-8-2 7:44,371.78 ,59.30 ,22047.92 ,2.20479E-05, 0.48611095 
2020-8-2 7:59,386.02 ,61.32 ,23669.69 ,2.36697E-05, 0.56025432 
2020-8-2 8:14,382.16 ,71.75 ,27420.62 ,2.74206E-05, 0.75189028 
2020-8-2 8:29,387.05 ,68.31 ,26438.60 ,2.64386E-05, 0.69899981 
2020-8-2 8:44,387.86 ,69.21 ,26842.02 ,2.68420E-05, 0.72049386 
2020-8-2 8:59,376.72 ,64.49 ,24294.12 ,2.42941E-05, 0.59020418 
2020-8-2 9:14,382.51 ,67.14 ,25680.63 ,2.56806E-05, 0.65949493 
2020-8-2 9:29,386.30 ,80.26 ,31003.97 ,3.10040E-05, 0.96124629 
2020-8-2 9:44,382.71 ,78.87 ,30184.33 ,3.01843E-05, 0.91109359 
2020-8-2 9:59,386.40 ,53.79 ,20786.22 ,2.07862E-05, 0.43206680 
2020-8-2 10:14,386.88 ,68.97 ,26684.82 ,2.66848E-05, 0.71207982 
2020-8-2 10:29,388.90 ,60.14 ,23387.69 ,2.33877E-05, 0.54698406 
2020-8-2 10:44,383.85 ,71.24 ,27344.38 ,2.73444E-05, 0.74771490 
2020-8-2 10:59,386.46 ,80.10 ,30953.19 ,3.09532E-05, 0.95809980 
2020-8-2 11:14,384.42 ,53.72 ,20649.69 ,2.06497E-05, 0.42640967 
2020-8-2 11:29,381.19 ,62.30 ,23747.56 ,2.37476E-05, 0.56394678 
2020-8-2 11:44,385.67 ,59.88 ,23094.90 ,2.30949E-05, 0.53337426 
2020-8-2 11:59,378.34 ,59.23 ,22408.93 ,2.24089E-05, 0.50216019 
2020-8-2 12:14,372.59 ,60.89 ,22685.73 ,2.26857E-05, 0.51464224 
2020-8-2 12:29,383.48 ,64.41 ,24698.39 ,2.46984E-05, 0.61001052 
2020-8-2 12:44,384.12 ,59.30 ,22777.70 ,2.27777E-05, 0.51882371 
2020-8-2 12:59,380.41 ,70.26 ,26729.08 ,2.67291E-05, 0.71444355 
2020-8-2 13:14,384.41 ,67.63 ,25998.61 ,2.59986E-05, 0.67592773 
2020-8-2 13:29,371.39 ,56.37 ,20934.46 ,2.09345E-05, 0.43825148 
2020-8-2 13:44,379.52 ,68.45 ,25979.15 ,2.59791E-05, 0.67491612 
2020-8-2 13:59,375.27 ,76.53 ,28718.83 ,2.87188E-05, 0.82477142 
2020-8-2 14:14,370.85 ,57.42 ,21295.47 ,2.12955E-05, 0.45349698 
2020-8-2 14:29,370.27 ,72.16 ,26716.94 ,2.67169E-05, 0.71379473 
2020-8-2 14:44,378.42 ,59.26 ,22425.71 ,2.24257E-05, 0.50291258 
2020-8-2 14:59,388.50 ,53.41 ,20749.91 ,2.07499E-05, 0.43055868 
2020-8-2 15:14,389.25 ,71.89 ,27983.35 ,2.79833E-05, 0.78306767 
2020-8-2 15:29,376.23 ,73.45 ,27635.43 ,2.76354E-05, 0.76371704 
2020-8-2 15:44,386.41 ,68.92 ,26631.77 ,2.66318E-05, 0.70925125 
2020-8-2 15:59,376.18 ,73.99 ,27835.26 ,2.78353E-05, 0.77480165 
2020-8-2 16:14,371.96 ,77.83 ,28949.13 ,2.89491E-05, 0.83805215 
2020-8-2 16:29,383.73 ,70.92 ,27215.40 ,2.72154E-05, 0.74067812 
2020-8-2 16:44,387.16 ,52.40 ,20285.31 ,2.02853E-05, 0.41149368 
2020-8-2 16:59,376.10 ,69.82 ,26257.54 ,2.62575E-05, 0.68945848 
2020-8-2 17:14,381.53 ,72.04 ,27486.25 ,2.74862E-05, 0.75549376 
2020-8-2 17:29,379.66 ,78.20 ,29690.18 ,2.96902E-05, 0.88150672 
2020-8-2 17:44,386.03 ,65.66 ,25345.63 ,2.53456E-05, 0.64240097 
2020-8-2 17:59,387.86 ,65.15 ,25269.41 ,2.52694E-05, 0.63854325 
2020-8-2 18:14,384.33 ,55.97 ,21512.65 ,2.15127E-05, 0.46279411 
2020-8-2 18:29,385.88 ,61.71 ,23813.75 ,2.38137E-05, 0.56709467 
2020-8-2 18:44,386.03 ,56.07 ,21644.88 ,2.16449E-05, 0.46850066 
2020-8-2 18:59,383.01 ,64.50 ,24702.50 ,2.47025E-05, 0.61021355 
2020-8-2 19:14,381.34 ,64.39 ,24553.14 ,2.45531E-05, 0.60285684 
2020-8-2 19:29,379.83 ,53.88 ,20463.98 ,2.04640E-05, 0.41877437 
2020-8-2 19:44,387.25 ,78.35 ,30341.25 ,3.03413E-05, 0.92059168 
2020-8-2 19:59,372.26 ,71.42 ,26585.41 ,2.65854E-05, 0.70678398 
2020-8-2 20:14,375.72 ,65.43 ,24584.84 ,2.45848E-05, 0.60441429 
2020-8-2 20:29,376.21 ,64.51 ,24269.01 ,2.42690E-05, 0.58898481 
2020-8-2 20:44,385.36 ,68.75 ,26493.12 ,2.64931E-05, 0.70188547 
2020-8-2 20:59,385.57 ,54.87 ,21155.08 ,2.11551E-05, 0.44753722 
2020-8-2 21:14,379.31 ,69.88 ,26507.77 ,2.65078E-05, 0.70266185 
2020-8-2 21:29,385.01 ,80.93 ,31160.62 ,3.11606E-05, 0.97098402 
2020-8-2 21:44,381.02 ,62.81 ,23933.24 ,2.39332E-05, 0.57280007 
2020-8-2 21:59,387.87 ,67.32 ,26110.20 ,2.61102E-05, 0.68174260 
2020-8-2 22:14,388.62 ,68.50 ,26620.69 ,2.66207E-05, 0.70866121 
2020-8-2 22:29,370.10 ,75.23 ,27843.56 ,2.78436E-05, 0.77526365 
2020-8-2 22:44,375.61 ,78.78 ,29590.22 ,2.95902E-05, 0.87558133 
2020-8-2 22:59,389.26 ,74.38 ,28955.39 ,2.89554E-05, 0.83841468 
2020-8-2 23:14,379.72 ,60.23 ,22871.71 ,2.28717E-05, 0.52311516 
2020-8-2 23:29,379.93 ,65.61 ,24928.53 ,2.49285E-05, 0.62143159 
2020-8-2 23:44,382.35 ,79.92 ,30556.13 ,3.05561E-05, 0.93367718 
2020-8-2 23:59,384.27 ,72.43 ,27832.73 ,2.78327E-05, 0.77466087 
2020-8-3 0:14,373.17 ,77.80 ,29032.90 ,2.90329E-05, 0.84290909 
2020-8-3 0:29,389.41 ,72.65 ,28290.27 ,2.82903E-05, 0.80033946 
2020-8-3 0:44,375.29 ,71.33 ,26768.58 ,2.67686E-05, 0.71655711 
2020-8-3 0:59,380.51 ,73.48 ,27958.36 ,2.79584E-05, 0.78166966 
2020-8-3 1:14,381.47 ,54.25 ,20693.45 ,2.06935E-05, 0.42821907 
2020-8-3 1:29,372.67 ,67.51 ,25158.26 ,2.51583E-05, 0.63293796 
2020-8-3 1:44,386.15 ,65.12 ,25144.36 ,2.51444E-05, 0.63223905 
2020-8-3 1:59,381.39 ,73.12 ,27889.05 ,2.78890E-05, 0.77779897 
2020-8-3 2:14,380.76 ,57.68 ,21961.86 ,2.19619E-05, 0.48232324 
2020-8-3 2:29,384.21 ,77.68 ,29845.09 ,2.98451E-05, 0.89072938 
2020-8-3 2:44,385.70 ,67.07 ,25870.89 ,2.58709E-05, 0.66930290 
2020-8-3 2:59,379.74 ,80.71 ,30648.91 ,3.06489E-05, 0.93935598 
2020-8-3 3:14,383.11 ,70.26 ,26918.59 ,2.69186E-05, 0.72461026 
2020-8-3 3:29,387.31 ,76.22 ,29519.02 ,2.95190E-05, 0.87137274 
2020-8-3 3:44,382.27 ,80.78 ,30880.83 ,3.08808E-05, 0.95362575 
2020-8-3 3:59,387.73 ,52.34 ,20295.36 ,2.02954E-05, 0.41190183 
2020-8-3 4:14,388.59 ,56.28 ,21870.68 ,2.18707E-05, 0.47832651 
2020-8-3 4:29,389.89 ,60.32 ,23518.09 ,2.35181E-05, 0.55310064 
2020-8-3 4:44,379.12 ,61.87 ,23457.43 ,2.34574E-05, 0.55025107 
2020-8-3 4:59,386.11 ,75.18 ,29028.04 ,2.90280E-05, 0.84262730 
2020-8-3 5:14,387.37 ,67.97 ,26327.94 ,2.63279E-05, 0.69316027 
2020-8-3 5:29,374.07 ,72.29 ,27041.95 ,2.70419E-05, 0.73126704 
2020-8-3 5:44,388.72 ,77.93 ,30292.92 ,3.02929E-05, 0.91766092 
2020-8-3 5:59,381.48 ,76.79 ,29293.51 ,2.92935E-05, 0.85810973 
2020-8-3 6:14,378.40 ,79.44 ,30059.71 ,3.00597E-05, 0.90358617 
2020-8-3 6:29,384.86 ,57.36 ,22074.08 ,2.20741E-05, 0.48726506 
2020-8-3 6:44,379.58 ,78.79 ,29908.05 ,2.99080E-05, 0.89449129 
2020-8-3 6:59,376.79 ,79.64 ,30007.47 ,3.00075E-05, 0.90044808 
2020-8-3 7:14,383.77 ,71.48 ,27432.09 ,2.74321E-05, 0.75251981 
2020-8-3 7:29,379.75 ,65.42 ,24841.56 ,2.48416E-05, 0.61710310 
2020-8-3 7:44,372.68 ,66.61 ,24823.20 ,2.48232E-05, 0.61619137 
2020-8-3 7:59,383.60 ,65.94 ,25294.20 ,2.52942E-05, 0.63979645 
2020-8-3 8:14,384.98 ,76.39 ,29409.87 ,2.94099E-05, 0.86494041 
2020-8-3 8:29,383.31 ,72.28 ,27706.82 ,2.77068E-05, 0.76766795 
2020-8-3 8:44,377.37 ,68.86 ,25986.34 ,2.59863E-05, 0.67528995 
2020-8-3 8:59,382.61 ,77.51 ,29654.89 ,2.96549E-05, 0.87941237 
2020-8-3 9:14,373.16 ,73.58 ,27455.37 ,2.74554E-05, 0.75379726 
2020-8-3 9:29,373.18 ,67.41 ,25154.40 ,2.51544E-05, 0.63274387 
2020-8-3 9:44,381.85 ,66.83 ,25517.30 ,2.55173E-05, 0.65113246 
2020-8-3 9:59,375.26 ,74.07 ,27795.03 ,2.77950E-05, 0.77256373 
2020-8-3 10:14,387.54 ,59.84 ,23190.11 ,2.31901E-05, 0.53778103 
2020-8-3 10:29,387.35 ,68.78 ,26643.77 ,2.66438E-05, 0.70989043 
2020-8-3 10:44,383.40 ,68.77 ,26367.13 ,2.63671E-05, 0.69522573 
2020-8-3 10:59,383.62 ,65.46 ,25112.67 ,2.51127E-05, 0.63064631 
2020-8-3 11:14,378.57 ,66.69 ,25247.20 ,2.52472E-05, 0.63742115 
2020-8-3 11:29,388.71 ,66.59 ,25883.65 ,2.58836E-05, 0.66996330 
2020-8-3 11:44,375.99 ,60.56 ,22771.46 ,2.27715E-05, 0.51853926 
2020-8-3 11:59,379.90 ,78.43 ,29795.90 ,2.97959E-05, 0.88779554 
2020-8-3 12:14,379.85 ,67.52 ,25647.20 ,2.56472E-05, 0.65777869 
2020-8-3 12:29,387.24 ,75.59 ,29270.44 ,2.92704E-05, 0.85675857 
2020-8-3 12:44,385.21 ,58.94 ,22705.85 ,2.27059E-05, 0.51555580 
2020-8-3 12:59,386.97 ,62.93 ,24350.74 ,2.43507E-05, 0.59295841 
2020-8-3 13:14,370.07 ,56.59 ,20940.84 ,2.09408E-05, 0.43851863 
2020-8-3 13:29,381.43 ,55.02 ,20986.46 ,2.09865E-05, 0.44043164 
2020-8-3 13:44,380.06 ,80.42 ,30564.56 ,3.05646E-05, 0.93419243 
2020-8-3 13:59,385.61 ,73.23 ,28236.47 ,2.82365E-05, 0.79729802 
2020-8-3 14:14,372.53 ,71.66 ,26697.33 ,2.66973E-05, 0.71274754 
2020-8-3 14:29,387.24 ,78.48 ,30390.10 ,3.03901E-05, 0.92355808 
2020-8-3 14:44,386.87 ,72.45 ,28028.63 ,2.80286E-05, 0.78560386 
2020-8-3 14:59,381.81 ,60.97 ,23279.16 ,2.32792E-05, 0.54191947 
2020-8-3 15:14,389.91 ,62.36 ,24314.04 ,2.43140E-05, 0.59117241 
2020-8-3 15:29,370.61 ,58.46 ,21664.73 ,2.16647E-05, 0.46936042 
2020-8-3 15:44,373.85 ,62.40 ,23328.85 ,2.33289E-05, 0.54423539 
2020-8-3 15:59,378.03 ,80.81 ,30549.54 ,3.05495E-05, 0.93327450 
2020-8-3 16:14,372.89 ,58.95 ,21983.23 ,2.19832E-05, 0.48326220 
2020-8-3 16:29,387.98 ,80.95 ,31406.09 ,3.14061E-05, 0.98634222 
2020-8-3 16:44,375.16 ,79.14 ,29689.60 ,2.96896E-05, 0.88147244 
2020-8-3 16:59,370.63 ,73.19 ,27124.57 ,2.71246E-05, 0.73574208 
2020-8-3 17:14,386.46 ,53.08 ,20513.79 ,2.05138E-05, 0.42081549 
2020-8-3 17:29,372.77 ,62.51 ,23301.22 ,2.33012E-05, 0.54294693 
2020-8-3 17:44,388.10 ,77.78 ,30187.41 ,3.01874E-05, 0.91127950 
2020-8-3 17:59,371.68 ,67.09 ,24935.61 ,2.49356E-05, 0.62178461 
2020-8-3 18:14,374.08 ,74.65 ,27925.71 ,2.79257E-05, 0.77984553 
2020-8-3 18:29,377.34 ,60.63 ,22879.00 ,2.28790E-05, 0.52344874 
2020-8-3 18:44,377.37 ,59.12 ,22308.81 ,2.23088E-05, 0.49768316 
2020-8-3 18:59,389.40 ,76.11 ,29635.55 ,2.96356E-05, 0.87826600 
2020-8-3 19:14,374.21 ,55.15 ,20636.98 ,2.06370E-05, 0.42588480 
2020-8-3 19:29,372.08 ,80.93 ,30113.09 ,3.01131E-05, 0.90679822 
2020-8-3 19:44,381.60 ,68.10 ,25985.60 ,2.59856E-05, 0.67525125 
2020-8-3 19:59,382.14 ,60.39 ,23077.74 ,2.30777E-05, 0.53258191 
2020-8-3 20:14,375.72 ,65.12 ,24466.50 ,2.44665E-05, 0.59860942 
2020-8-3 20:29,371.08 ,66.77 ,24775.51 ,2.47755E-05, 0.61382575 
2020-8-3 20:44,373.83 ,76.86 ,28733.24 ,2.87332E-05, 0.82559925 
2020-8-3 20:59,378.73 ,81.81 ,30982.89 ,3.09829E-05, 0.95993963 
2020-8-3 21:14,378.77 ,70.86 ,26838.89 ,2.68389E-05, 0.72032606 
2020-8-3 21:29,372.26 ,59.75 ,22243.37 ,2.22434E-05, 0.49476736 
2020-8-3 21:44,376.07 ,73.18 ,27519.62 ,2.75196E-05, 0.75732937 
2020-8-3 21:59,383.26 ,67.05 ,25697.81 ,2.56978E-05, 0.66037766 
2020-8-3 22:14,383.32 ,80.23 ,30752.35 ,3.07523E-05, 0.94570699 
2020-8-3 22:29,378.04 ,58.84 ,22242.17 ,2.22422E-05, 0.49471413 
2020-8-3 22:44,387.29 ,78.94 ,30571.40 ,3.05714E-05, 0.93461043 
2020-8-3 22:59,382.01 ,73.99 ,28264.36 ,2.82644E-05, 0.79887432 
2020-8-3 23:14,389.16 ,80.22 ,31218.88 ,3.12189E-05, 0.97461835 
2020-8-3 23:29,370.33 ,64.72 ,23966.06 ,2.39661E-05, 0.57437187 
2020-8-3 23:44,383.15 ,66.77 ,25583.43 ,2.55834E-05, 0.65451214 
2020-8-3 23:59,383.95 ,80.67 ,30973.39 ,3.09734E-05, 0.95935073 
2020-8-4 0:14,381.90 ,56.38 ,21530.34 ,2.15303E-05, 0.46355558 
2020-8-4 0:29,376.09 ,55.75 ,20968.74 ,2.09687E-05, 0.43968791 
2020-8-4 0:44,370.81 ,57.80 ,21434.36 ,2.14344E-05, 0.45943176 
2020-8-4 0:59,387.50 ,81.07 ,31415.77 ,3.14158E-05, 0.98695034 
2020-8-4 1:14,378.48 ,60.86 ,23035.10 ,2.30351E-05, 0.53061600 
2020-8-4 1:29,380.39 ,71.00 ,27009.13 ,2.70091E-05, 0.72949311 
2020-8-4 1:44,381.49 ,68.93 ,26295.95 ,2.62959E-05, 0.69147675 
2020-8-4 1:59,387.00 ,58.51 ,22645.14 ,2.26451E-05, 0.51280215 
2020-8-4 2:14,371.29 ,65.46 ,24305.54 ,2.43055E-05, 0.59075935 
2020-8-4 2:29,374.63 ,59.82 ,22411.65 ,2.24116E-05, 0.50228197 
2020-8-4 2:44,379.33 ,74.35 ,28203.77 ,2.82038E-05, 0.79545276 
2020-8-4 2:59,373.78 ,79.42 ,29684.69 ,2.96847E-05, 0.88118086 
2020-8-4 3:14,379.99 ,56.92 ,21628.49 ,2.16285E-05, 0.46779169 
