, 형태소,  의미형태,구분신뢰도, 자연어 수,전자파 지수10,전자파(TG),AI 쳇봇 기계학습효율*100%
2020-6-1 8:15, 226.81 , 2.83 , 0.86 , 552.58 , 0.55 , 0.55 , 55.26 
2020-6-1 8:30, 231.46 , 1.99 , 0.82 , 378.43 , 0.38 , 0.38 , 37.84 
2020-6-1 8:45, 222.32 , 8.82 , 0.92 ," 1,798.75 ", 1.80 , 1.80 , 179.87 
2020-6-1 9:00, 234.05 , 8.49 , 0.95 ," 1,882.81 ", 1.88 , 1.88 , 188.28 
2020-6-1 9:15, 223.05 , 8.12 , 0.88 ," 1,589.43 ", 1.59 , 1.59 , 158.94 
2020-6-1 9:30, 223.60 , 9.14 , 0.91 ," 1,859.03 ", 1.86 , 1.86 , 185.90 
2020-6-1 9:45, 233.59 , 9.82 , 0.84 ," 1,918.38 ", 1.92 , 1.92 , 191.84 
2020-6-1 10:00, 204.71 , 2.98 , 0.94 , 573.23 , 0.57 , 0.57 , 57.32 
2020-6-1 10:15, 232.98 , 9.76 , 0.84 ," 1,907.79 ", 1.91 , 1.91 , 190.78 
2020-6-1 10:30, 208.55 , 7.66 , 0.93 ," 1,479.47 ", 1.48 , 1.48 , 147.95 
2020-6-1 10:45, 213.59 , 7.79 , 0.90 ," 1,492.00 ", 1.49 , 1.49 , 149.20 
2020-6-1 11:00, 235.41 , 4.93 , 0.93 ," 1,082.46 ", 1.08 , 1.08 , 108.25 
2020-6-1 11:15, 231.93 , 9.23 , 0.85 ," 1,829.21 ", 1.83 , 1.83 , 182.92 
2020-6-1 11:30, 218.32 , 9.27 , 0.90 ," 1,815.52 ", 1.82 , 1.82 , 181.55 
2020-6-1 11:45, 208.84 , 9.84 , 0.81 ," 1,656.72 ", 1.66 , 1.66 , 165.67 
2020-6-1 12:00, 221.33 , 6.40 , 0.92 ," 1,305.76 ", 1.31 , 1.31 , 130.58 
2020-6-1 12:15, 230.01 , 1.61 , 0.88 , 324.42 , 0.32 , 0.32 , 32.44 
2020-6-1 12:30, 226.50 , 7.77 , 0.81 ," 1,421.37 ", 1.42 , 1.42 , 142.14 
2020-6-1 12:45, 225.82 , 4.72 , 0.88 , 936.67 , 0.94 , 0.94 , 93.67 
2020-6-1 13:00, 210.13 , 2.87 , 0.83 , 499.90 , 0.50 , 0.50 , 49.99 
2020-6-1 13:15, 226.65 , 3.60 , 0.89 , 722.27 , 0.72 , 0.72 , 72.23 
2020-6-1 13:30, 212.47 , 7.72 , 0.90 ," 1,471.04 ", 1.47 , 1.47 , 147.10 
2020-6-1 13:45, 225.20 , 7.16 , 0.94 ," 1,520.94 ", 1.52 , 1.52 , 152.09 
2020-6-1 14:00, 223.63 , 8.17 , 0.80 ," 1,467.69 ", 1.47 , 1.47 , 146.77 
2020-6-1 14:15, 203.29 , 4.64 , 0.80 , 756.46 , 0.76 , 0.76 , 75.65 
2020-6-1 14:30, 207.04 , 1.06 , 0.83 , 181.91 , 0.18 , 0.18 , 18.19 
2020-6-1 14:45, 230.31 , 8.30 , 0.85 ," 1,619.25 ", 1.62 , 1.62 , 161.93 
2020-6-1 15:00, 206.78 , 3.40 , 0.85 , 594.74 , 0.59 , 0.59 , 59.47 
2020-6-1 15:15, 206.90 , 3.99 , 0.86 , 713.15 , 0.71 , 0.71 , 71.32 
2020-6-1 15:30, 228.30 , 9.85 , 0.84 ," 1,893.95 ", 1.89 , 1.89 , 189.40 
2020-6-1 15:45, 236.48 , 7.06 , 0.88 ," 1,476.66 ", 1.48 , 1.48 , 147.67 
2020-6-1 16:00, 209.43 , 2.89 , 0.92 , 553.57 , 0.55 , 0.55 , 55.36 
2020-6-1 16:15, 225.46 , 2.97 , 0.91 , 606.60 , 0.61 , 0.61 , 60.66 
2020-6-1 16:30, 213.55 , 1.75 , 0.87 , 327.18 , 0.33 , 0.33 , 32.72 
2020-6-1 16:45, 213.51 , 9.56 , 0.81 ," 1,652.98 ", 1.65 , 1.65 , 165.30 
2020-6-1 17:00, 204.99 , 9.36 , 0.81 ," 1,546.26 ", 1.55 , 1.55 , 154.63 
2020-6-1 17:15, 211.22 , 4.64 , 0.86 , 840.37 , 0.84 , 0.84 , 84.04 
2020-6-1 17:30, 210.11 , 8.56 , 0.90 ," 1,620.46 ", 1.62 , 1.62 , 162.05 
2020-6-1 17:45, 211.36 , 2.03 , 0.84 , 361.45 , 0.36 , 0.36 , 36.14 
2020-6-1 18:00, 210.64 , 2.54 , 0.89 , 477.96 , 0.48 , 0.48 , 47.80 
2020-6-1 18:15, 213.80 , 7.89 , 0.91 ," 1,534.62 ", 1.53 , 1.53 , 153.46 
2020-6-1 18:30, 202.71 , 5.71 , 0.89 ," 1,026.16 ", 1.03 , 1.03 , 102.62 
2020-6-1 18:45, 226.65 , 4.78 , 0.81 , 879.70 , 0.88 , 0.88 , 87.97 
2020-6-1 19:00, 234.21 , 2.68 , 0.95 , 594.02 , 0.59 , 0.59 , 59.40 
2020-6-1 19:15, 235.02 , 3.71 , 0.84 , 728.69 , 0.73 , 0.73 , 72.87 
2020-6-1 19:30, 217.29 , 6.23 , 0.84 ," 1,143.90 ", 1.14 , 1.14 , 114.39 
2020-6-1 19:45, 203.53 , 1.10 , 0.84 , 188.43 , 0.19 , 0.19 , 18.84 
2020-6-1 20:00, 221.89 , 6.28 , 0.87 ," 1,217.52 ", 1.22 , 1.22 , 121.75 
2020-6-1 20:15, 239.11 , 7.99 , 0.92 ," 1,762.54 ", 1.76 , 1.76 , 176.25 
2020-6-1 20:30, 234.54 , 4.02 , 0.90 , 852.46 , 0.85 , 0.85 , 85.25 
2020-6-1 20:45, 203.23 , 3.64 , 0.82 , 605.79 , 0.61 , 0.61 , 60.58 
2020-6-1 21:00, 201.11 , 1.85 , 0.94 , 348.85 , 0.35 , 0.35 , 34.89 
2020-6-1 21:15, 215.16 , 4.11 , 0.93 , 824.48 , 0.82 , 0.82 , 82.45 
2020-6-1 21:30, 221.92 , 3.50 , 0.87 , 671.32 , 0.67 , 0.67 , 67.13 
2020-6-1 21:45, 209.59 , 1.53 , 0.83 , 267.51 , 0.27 , 0.27 , 26.75 
2020-6-1 22:00, 213.58 , 2.27 , 0.85 , 410.97 , 0.41 , 0.41 , 41.10 
2020-6-1 22:15, 236.81 , 3.50 , 0.89 , 735.87 , 0.74 , 0.74 , 73.59 
2020-6-1 22:30, 232.72 , 9.77 , 0.87 ," 1,974.86 ", 1.97 , 1.97 , 197.49 
2020-6-1 22:45, 230.05 , 4.74 , 0.81 , 878.65 , 0.88 , 0.88 , 87.86 
2020-6-1 23:00, 232.41 , 3.52 , 0.81 , 664.75 , 0.66 , 0.66 , 66.47 
2020-6-1 23:15, 204.69 , 7.78 , 0.91 ," 1,451.47 ", 1.45 , 1.45 , 145.15 
2020-6-1 23:30, 219.15 , 8.70 , 0.90 ," 1,712.83 ", 1.71 , 1.71 , 171.28 
2020-6-1 23:45, 237.05 , 4.66 , 0.84 , 922.51 , 0.92 , 0.92 , 92.25 
2020-6-2 0:00, 235.98 , 4.33 , 0.89 , 907.83 , 0.91 , 0.91 , 90.78 
2020-6-2 0:15, 227.10 , 2.69 , 0.89 , 543.52 , 0.54 , 0.54 , 54.35 
2020-6-2 0:30, 201.99 , 7.56 , 0.90 ," 1,366.36 ", 1.37 , 1.37 , 136.64 
2020-6-2 0:45, 232.13 , 2.47 , 0.84 , 482.07 , 0.48 , 0.48 , 48.21 
2020-6-2 0:59, 219.27 , 4.52 , 0.81 , 803.68 , 0.80 , 0.80 , 80.37 
2020-6-2 1:14, 222.80 , 9.85 , 0.94 ," 2,063.75 ", 2.06 , 2.06 , 206.37 
2020-6-2 1:29, 214.28 , 9.11 , 0.86 ," 1,673.78 ", 1.67 , 1.67 , 167.38 
2020-6-2 1:44, 227.24 , 9.58 , 0.83 ," 1,806.32 ", 1.81 , 1.81 , 180.63 
2020-6-2 1:59, 207.83 , 3.19 , 0.91 , 603.27 , 0.60 , 0.60 , 60.33 
2020-6-2 2:14, 218.45 , 3.62 , 0.86 , 677.18 , 0.68 , 0.68 , 67.72 
2020-6-2 2:29, 226.26 , 1.50 , 0.91 , 308.01 , 0.31 , 0.31 , 30.80 
2020-6-2 2:44, 212.72 , 8.38 , 0.80 ," 1,431.64 ", 1.43 , 1.43 , 143.16 
2020-6-2 2:59, 223.32 , 6.79 , 0.84 ," 1,267.85 ", 1.27 , 1.27 , 126.79 
2020-6-2 3:14, 219.46 , 2.60 , 0.81 , 460.54 , 0.46 , 0.46 , 46.05 
2020-6-2 3:29, 210.43 , 8.82 , 0.82 ," 1,521.10 ", 1.52 , 1.52 , 152.11 
2020-6-2 3:44, 232.12 , 3.07 , 0.92 , 657.97 , 0.66 , 0.66 , 65.80 
2020-6-2 3:59, 233.82 , 4.65 , 0.89 , 965.96 , 0.97 , 0.97 , 96.60 
2020-6-2 4:14, 232.53 , 6.74 , 0.87 ," 1,357.05 ", 1.36 , 1.36 , 135.71 
2020-6-2 4:29, 207.01 , 2.33 , 0.86 , 416.51 , 0.42 , 0.42 , 41.65 
2020-6-2 4:44, 228.94 , 4.92 , 0.93 ," 1,052.93 ", 1.05 , 1.05 , 105.29 
2020-6-2 4:59, 234.82 , 4.74 , 0.83 , 926.72 , 0.93 , 0.93 , 92.67 
2020-6-2 5:14, 239.82 , 6.95 , 0.91 ," 1,514.12 ", 1.51 , 1.51 , 151.41 
2020-6-2 5:29, 212.85 , 8.45 , 0.80 ," 1,446.64 ", 1.45 , 1.45 , 144.66 
2020-6-2 5:44, 226.54 , 2.95 , 0.85 , 571.52 , 0.57 , 0.57 , 57.15 
2020-6-2 5:59, 202.68 , 5.28 , 0.89 , 949.02 , 0.95 , 0.95 , 94.90 
2020-6-2 6:14, 217.43 , 3.33 , 0.95 , 688.39 , 0.69 , 0.69 , 68.84 
2020-6-2 6:29, 237.05 , 4.83 , 0.81 , 926.44 , 0.93 , 0.93 , 92.64 
2020-6-2 6:44, 216.45 , 8.56 , 0.93 ," 1,722.28 ", 1.72 , 1.72 , 172.23 
2020-6-2 6:59, 225.69 , 2.87 , 0.86 , 554.26 , 0.55 , 0.55 , 55.43 
2020-6-2 7:14, 236.34 , 8.83 , 0.81 ," 1,686.95 ", 1.69 , 1.69 , 168.70 
2020-6-2 7:29, 237.69 , 6.47 , 0.88 ," 1,360.78 ", 1.36 , 1.36 , 136.08 
2020-6-2 7:44, 231.90 , 1.73 , 0.82 , 329.68 , 0.33 , 0.33 , 32.97 
2020-6-2 7:59, 223.76 , 1.43 , 0.92 , 294.29 , 0.29 , 0.29 , 29.43 
2020-6-2 8:14, 238.34 , 9.91 , 0.91 ," 2,138.60 ", 2.14 , 2.14 , 213.86 
2020-6-2 8:29, 239.57 , 1.51 , 0.94 , 340.38 , 0.34 , 0.34 , 34.04 
2020-6-2 8:44, 201.52 , 5.00 , 0.94 , 946.21 , 0.95 , 0.95 , 94.62 
2020-6-2 8:59, 202.69 , 2.44 , 0.82 , 407.68 , 0.41 , 0.41 , 40.77 
2020-6-2 9:14, 217.13 , 2.54 , 0.82 , 450.40 , 0.45 , 0.45 , 45.04 
2020-6-2 9:29, 220.51 , 7.63 , 0.80 ," 1,349.95 ", 1.35 , 1.35 , 134.99 
2020-6-2 9:44, 213.21 , 5.68 , 0.95 ," 1,147.15 ", 1.15 , 1.15 , 114.71 
2020-6-2 9:59, 224.83 , 4.07 , 0.84 , 766.62 , 0.77 , 0.77 , 76.66 
2020-6-2 10:14, 226.51 , 8.16 , 0.87 ," 1,602.90 ", 1.60 , 1.60 , 160.29 
2020-6-2 10:29, 200.65 , 3.94 , 0.85 , 669.83 , 0.67 , 0.67 , 66.98 
2020-6-2 10:44, 238.89 , 2.73 , 0.81 , 528.53 , 0.53 , 0.53 , 52.85 
2020-6-2 10:59, 202.79 , 3.37 , 0.92 , 629.02 , 0.63 , 0.63 , 62.90 
2020-6-2 11:14, 200.41 , 2.07 , 0.94 , 391.56 , 0.39 , 0.39 , 39.16 
2020-6-2 11:29, 208.40 , 5.25 , 0.93 ," 1,020.37 ", 1.02 , 1.02 , 102.04 
2020-6-2 11:44, 239.75 , 4.71 , 0.84 , 946.16 , 0.95 , 0.95 , 94.62 
2020-6-2 11:59, 226.47 , 3.72 , 0.84 , 708.01 , 0.71 , 0.71 , 70.80 
2020-6-2 12:14, 203.15 , 4.35 , 0.86 , 759.76 , 0.76 , 0.76 , 75.98 
2020-6-2 12:29, 216.71 , 1.99 , 0.92 , 399.59 , 0.40 , 0.40 , 39.96 
2020-6-2 12:44, 209.70 , 8.18 , 0.92 ," 1,574.25 ", 1.57 , 1.57 , 157.42 
2020-6-2 12:59, 225.44 , 5.59 , 0.85 ," 1,066.90 ", 1.07 , 1.07 , 106.69 
2020-6-2 13:14, 217.24 , 2.73 , 0.81 , 482.22 , 0.48 , 0.48 , 48.22 
2020-6-2 13:29, 235.47 , 8.38 , 0.88 ," 1,728.27 ", 1.73 , 1.73 , 172.83 
2020-6-2 13:44, 207.99 , 5.34 , 0.86 , 953.02 , 0.95 , 0.95 , 95.30 
2020-6-2 13:59, 223.78 , 3.44 , 0.91 , 695.92 , 0.70 , 0.70 , 69.59 
2020-6-2 14:14, 228.27 , 9.09 , 0.85 ," 1,756.17 ", 1.76 , 1.76 , 175.62 
2020-6-2 14:29, 219.47 , 4.24 , 0.92 , 856.99 , 0.86 , 0.86 , 85.70 
2020-6-2 14:44, 215.38 , 7.61 , 0.92 ," 1,500.62 ", 1.50 , 1.50 , 150.06 
2020-6-2 14:59, 215.09 , 9.95 , 0.82 ," 1,744.79 ", 1.74 , 1.74 , 174.48 
2020-6-2 15:14, 222.14 , 6.97 , 0.82 ," 1,267.64 ", 1.27 , 1.27 , 126.76 
2020-6-2 15:29, 227.38 , 9.72 , 0.94 ," 2,069.62 ", 2.07 , 2.07 , 206.96 
2020-6-2 15:44, 234.61 , 8.90 , 0.91 ," 1,910.74 ", 1.91 , 1.91 , 191.07 
2020-6-2 15:59, 211.16 , 1.25 , 0.93 , 244.86 , 0.24 , 0.24 , 24.49 
2020-6-2 16:14, 227.07 , 4.65 , 0.86 , 903.69 , 0.90 , 0.90 , 90.37 
2020-6-2 16:29, 235.41 , 2.26 , 0.90 , 478.06 , 0.48 , 0.48 , 47.81 
2020-6-2 16:44, 227.58 , 3.24 , 0.88 , 649.85 , 0.65 , 0.65 , 64.99 
2020-6-2 16:59, 202.57 , 5.95 , 0.91 ," 1,098.37 ", 1.10 , 1.10 , 109.84 
2020-6-2 17:14, 225.64 , 3.09 , 0.95 , 661.10 , 0.66 , 0.66 , 66.11 
2020-6-2 17:29, 236.35 , 6.06 , 0.81 ," 1,160.59 ", 1.16 , 1.16 , 116.06 
2020-6-2 17:44, 205.17 , 5.01 , 0.83 , 847.69 , 0.85 , 0.85 , 84.77 
2020-6-2 17:59, 223.33 , 4.23 , 0.88 , 829.86 , 0.83 , 0.83 , 82.99 
2020-6-2 18:14, 223.42 , 6.46 , 0.93 ," 1,347.72 ", 1.35 , 1.35 , 134.77 
2020-6-2 18:29, 203.89 , 9.55 , 0.80 ," 1,560.43 ", 1.56 , 1.56 , 156.04 
2020-6-2 18:44, 237.39 , 5.28 , 0.87 ," 1,086.74 ", 1.09 , 1.09 , 108.67 
2020-6-2 18:59, 223.05 , 8.62 , 0.83 ," 1,595.80 ", 1.60 , 1.60 , 159.58 
2020-6-2 19:14, 219.73 , 3.40 , 0.86 , 642.27 , 0.64 , 0.64 , 64.23 
2020-6-2 19:29, 204.97 , 4.07 , 0.83 , 695.98 , 0.70 , 0.70 , 69.60 
2020-6-2 19:44, 228.84 , 9.49 , 0.87 ," 1,899.80 ", 1.90 , 1.90 , 189.98 
2020-6-2 19:59, 223.89 , 4.52 , 0.88 , 889.26 , 0.89 , 0.89 , 88.93 
2020-6-2 20:14, 200.73 , 4.22 , 0.95 , 804.11 , 0.80 , 0.80 , 80.41 
2020-6-2 20:29, 231.68 , 7.27 , 0.91 ," 1,535.18 ", 1.54 , 1.54 , 153.52 
2020-6-2 20:44, 217.95 , 6.70 , 0.91 ," 1,329.04 ", 1.33 , 1.33 , 132.90 
2020-6-2 20:59, 222.13 , 3.97 , 0.91 , 802.71 , 0.80 , 0.80 , 80.27 
2020-6-2 21:14, 218.57 , 4.55 , 0.87 , 867.43 , 0.87 , 0.87 , 86.74 
2020-6-2 21:29, 236.96 , 1.74 , 0.94 , 385.43 , 0.39 , 0.39 , 38.54 
2020-6-2 21:44, 205.07 , 3.86 , 0.85 , 672.64 , 0.67 , 0.67 , 67.26 
2020-6-2 21:59, 202.44 , 6.48 , 0.89 ," 1,172.30 ", 1.17 , 1.17 , 117.23 
2020-6-2 22:14, 238.54 , 8.77 , 0.94 ," 1,975.21 ", 1.98 , 1.98 , 197.52 
2020-6-2 22:29, 228.45 , 6.42 , 0.92 ," 1,353.60 ", 1.35 , 1.35 , 135.36 
2020-6-2 22:44, 228.15 , 9.88 , 0.89 ," 2,012.72 ", 2.01 , 2.01 , 201.27 
2020-6-2 22:59, 212.13 , 6.01 , 0.92 ," 1,169.36 ", 1.17 , 1.17 , 116.94 
2020-6-2 23:14, 214.83 , 5.43 , 0.82 , 958.75 , 0.96 , 0.96 , 95.87 
2020-6-2 23:29, 230.77 , 7.20 , 0.95 ," 1,571.55 ", 1.57 , 1.57 , 157.15 
2020-6-2 23:44, 204.14 , 1.39 , 0.83 , 235.73 , 0.24 , 0.24 , 23.57 
2020-6-2 23:59, 209.39 , 9.13 , 0.83 ," 1,592.71 ", 1.59 , 1.59 , 159.27 
2020-6-3 0:14, 236.58 , 6.43 , 0.82 ," 1,248.36 ", 1.25 , 1.25 , 124.84 
2020-6-3 0:29, 200.82 , 5.12 , 0.87 , 890.60 , 0.89 , 0.89 , 89.06 
2020-6-3 0:44, 220.11 , 9.70 , 0.90 ," 1,912.96 ", 1.91 , 1.91 , 191.30 
2020-6-3 0:59, 225.30 , 5.35 , 0.93 ," 1,118.55 ", 1.12 , 1.12 , 111.85 
2020-6-3 1:14, 211.58 , 8.40 , 0.90 ," 1,604.31 ", 1.60 , 1.60 , 160.43 
2020-6-3 1:29, 215.15 , 2.53 , 0.86 , 467.46 , 0.47 , 0.47 , 46.75 
2020-6-3 1:44, 201.20 , 4.50 , 0.81 , 733.17 , 0.73 , 0.73 , 73.32 
2020-6-3 1:59, 201.13 , 2.69 , 0.88 , 477.32 , 0.48 , 0.48 , 47.73 
2020-6-3 2:14, 215.34 , 5.43 , 0.84 , 978.54 , 0.98 , 0.98 , 97.85 
2020-6-3 2:29, 231.13 , 2.30 , 0.81 , 433.12 , 0.43 , 0.43 , 43.31 
2020-6-3 2:44, 206.98 , 2.90 , 0.86 , 516.31 , 0.52 , 0.52 , 51.63 
2020-6-3 2:59, 212.36 , 6.60 , 0.92 ," 1,282.47 ", 1.28 , 1.28 , 128.25 
2020-6-3 3:14, 236.84 , 7.47 , 0.84 ," 1,489.72 ", 1.49 , 1.49 , 148.97 
2020-6-3 3:29, 230.71 , 4.54 , 0.82 , 855.15 , 0.86 , 0.86 , 85.52 
2020-6-3 3:44, 208.81 , 5.01 , 0.86 , 902.97 , 0.90 , 0.90 , 90.30 
2020-6-3 3:59, 206.41 , 4.29 , 0.83 , 732.88 , 0.73 , 0.73 , 73.29 
2020-6-3 4:14, 207.75 , 6.80 , 0.91 ," 1,283.21 ", 1.28 , 1.28 , 128.32 
2020-6-3 4:29, 230.67 , 4.58 , 0.81 , 860.58 , 0.86 , 0.86 , 86.06 
2020-6-3 4:44, 218.33 , 6.39 , 0.87 ," 1,217.10 ", 1.22 , 1.22 , 121.71 
2020-6-3 4:59, 235.19 , 6.40 , 0.82 ," 1,240.84 ", 1.24 , 1.24 , 124.08 
2020-6-3 5:14, 218.35 , 4.15 , 0.82 , 739.69 , 0.74 , 0.74 , 73.97 
2020-6-3 5:29, 213.90 , 3.74 , 0.82 , 652.61 , 0.65 , 0.65 , 65.26 
2020-6-3 5:44, 227.05 , 5.46 , 0.94 ," 1,164.31 ", 1.16 , 1.16 , 116.43 
2020-6-3 5:59, 236.20 , 2.56 , 0.90 , 543.04 , 0.54 , 0.54 , 54.30 
2020-6-3 6:14, 200.01 , 5.26 , 0.85 , 896.61 , 0.90 , 0.90 , 89.66 
2020-6-3 6:29, 205.55 , 9.21 , 0.88 ," 1,665.29 ", 1.67 , 1.67 , 166.53 
2020-6-3 6:44, 214.37 , 5.34 , 0.84 , 965.70 , 0.97 , 0.97 , 96.57 
2020-6-3 6:59, 220.38 , 9.89 , 0.81 ," 1,756.68 ", 1.76 , 1.76 , 175.67 
2020-6-3 7:14, 204.69 , 5.96 , 0.86 ," 1,055.25 ", 1.06 , 1.06 , 105.53 
2020-6-3 7:29, 226.65 , 2.40 , 0.82 , 447.66 , 0.45 , 0.45 , 44.77 
2020-6-3 7:44, 228.64 , 8.69 , 0.87 ," 1,725.72 ", 1.73 , 1.73 , 172.57 
2020-6-3 7:59, 222.21 , 6.16 , 0.85 ," 1,159.74 ", 1.16 , 1.16 , 115.97 
2020-6-3 8:14, 209.55 , 5.60 , 0.85 , 991.81 , 0.99 , 0.99 , 99.18 
2020-6-3 8:29, 207.13 , 3.06 , 0.86 , 547.32 , 0.55 , 0.55 , 54.73 
2020-6-3 8:44, 201.63 , 8.41 , 0.95 ," 1,605.93 ", 1.61 , 1.61 , 160.59 
2020-6-3 8:59, 231.50 , 3.56 , 0.92 , 757.80 , 0.76 , 0.76 , 75.78 
2020-6-3 9:14, 218.67 , 3.28 , 0.81 , 583.18 , 0.58 , 0.58 , 58.32 
2020-6-3 9:29, 220.92 , 7.20 , 0.84 ," 1,339.73 ", 1.34 , 1.34 , 133.97 
2020-6-3 9:44, 225.78 , 7.65 , 0.94 ," 1,628.12 ", 1.63 , 1.63 , 162.81 
2020-6-3 9:59, 221.70 , 3.98 , 0.84 , 738.30 , 0.74 , 0.74 , 73.83 
2020-6-3 10:14, 236.83 , 6.88 , 0.91 ," 1,474.20 ", 1.47 , 1.47 , 147.42 
2020-6-3 10:29, 235.53 , 9.84 , 0.94 ," 2,182.53 ", 2.18 , 2.18 , 218.25 
2020-6-3 10:44, 233.28 , 1.68 , 0.93 , 364.13 , 0.36 , 0.36 , 36.41 
2020-6-3 10:59, 236.04 , 8.24 , 0.83 ," 1,620.80 ", 1.62 , 1.62 , 162.08 
2020-6-3 11:14, 236.15 , 8.95 , 0.90 ," 1,892.62 ", 1.89 , 1.89 , 189.26 
2020-6-3 11:29, 208.02 , 2.45 , 0.93 , 475.63 , 0.48 , 0.48 , 47.56 
2020-6-3 11:44, 214.69 , 2.06 , 0.80 , 355.34 , 0.36 , 0.36 , 35.53 
2020-6-3 11:59, 203.54 , 6.18 , 0.90 ," 1,129.54 ", 1.13 , 1.13 , 112.95 
2020-6-3 12:14, 211.70 , 3.45 , 0.87 , 635.12 , 0.64 , 0.64 , 63.51 
2020-6-3 12:29, 233.26 , 1.64 , 0.85 , 325.29 , 0.33 , 0.33 , 32.53 
2020-6-3 12:44, 207.70 , 9.04 , 0.89 ," 1,671.09 ", 1.67 , 1.67 , 167.11 
2020-6-3 12:59, 226.10 , 4.11 , 0.82 , 762.84 , 0.76 , 0.76 , 76.28 
2020-6-3 13:14, 210.52 , 7.22 , 0.93 ," 1,409.69 ", 1.41 , 1.41 , 140.97 
2020-6-3 13:29, 223.24 , 8.09 , 0.93 ," 1,682.92 ", 1.68 , 1.68 , 168.29 
2020-6-3 13:44, 229.65 , 3.01 , 0.85 , 589.83 , 0.59 , 0.59 , 58.98 
2020-6-3 13:59, 218.85 , 2.63 , 0.91 , 525.10 , 0.53 , 0.53 , 52.51 
2020-6-3 14:14, 218.91 , 9.62 , 0.95 ," 1,998.12 ", 2.00 , 2.00 , 199.81 
2020-6-3 14:29, 215.60 , 8.23 , 0.84 ," 1,492.54 ", 1.49 , 1.49 , 149.25 
2020-6-3 14:44, 201.67 , 7.96 , 0.90 ," 1,446.73 ", 1.45 , 1.45 , 144.67 
