지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
90,2021-11-01 0:28,12.7,0,357.9,1,1019.4,1021.5,65.6,,0
90,2021-11-01 0:29,13,0,9.9,0.4,1019.5,1021.6,64.3,,0
90,2021-11-01 0:30,13.1,0,184.8,0.7,1019.5,1021.6,64.1,,0
90,2021-11-01 0:31,13.1,0,313.3,0.2,1019.5,1021.6,63.7,,0
90,2021-11-01 0:32,13.3,0,3,0.3,1019.5,1021.6,63,,0
90,2021-11-01 0:33,13.4,0,41.7,0.6,1019.4,1021.5,62.9,,0
90,2021-11-01 0:34,13.4,0,38.2,1,1019.4,1021.5,63.2,,0
90,2021-11-01 0:35,13.3,0,31.4,1.3,1019.4,1021.5,64.4,,0
90,2021-11-01 0:36,13.2,0,21.1,0.8,1019.4,1021.5,65.5,,0
90,2021-11-01 0:37,13.2,0,33.3,1.1,1019.4,1021.5,65.7,,0
90,2021-11-01 0:38,13.3,0,255,0.4,1019.4,1021.5,65.5,,0
90,2021-11-01 0:39,13.3,0,228.8,0.6,1019.4,1021.5,65,,0
90,2021-11-01 0:40,13.4,0,147.8,0.1,1019.4,1021.5,64,,0
90,2021-11-01 0:41,13.7,0,33.3,0.7,1019.4,1021.5,63.6,,0
90,2021-11-01 0:42,13.6,0,32.9,0.9,1019.4,1021.5,64.1,,0
90,2021-11-01 0:43,13.4,0,321.8,0.6,1019.4,1021.5,64.4,,0
90,2021-11-01 0:44,13.3,0,269.8,0.4,1019.4,1021.5,64.7,,0
90,2021-11-01 0:45,13.3,0,216.9,1,1019.4,1021.5,64.2,,0
90,2021-11-01 0:46,13.1,0,203,1.6,1019.4,1021.5,63.6,,0
90,2021-11-01 0:47,13.1,0,152,0.9,1019.4,1021.5,64.3,,0
90,2021-11-01 0:48,13.3,0,116.1,0.9,1019.3,1021.4,63.4,,0
90,2021-11-01 0:49,13.2,0,96.2,1.3,1019.3,1021.4,63.7,,0
90,2021-11-01 0:50,13,0,7,1.8,1019.3,1021.4,64.8,,0
90,2021-11-01 0:51,13,0,23.5,1.7,1019.2,1021.3,64.7,,0
90,2021-11-01 0:52,12.9,0,32.3,0.9,1019.2,1021.3,65.3,,0
90,2021-11-01 0:53,13.1,0,357.2,0.8,1019.3,1021.4,64.7,,0
90,2021-11-01 0:54,13.3,0,7.1,1,1019.3,1021.4,63.6,,0
90,2021-11-01 0:55,13.5,0,34.7,0.8,1019.3,1021.4,63.4,,0
90,2021-11-01 0:56,13.4,0,50.2,1.1,1019.3,1021.4,63.7,,0
90,2021-11-01 0:57,13.4,0,41,1,1019.3,1021.4,64.1,,0
90,2021-11-01 0:58,13.3,0,38.3,1,1019.3,1021.4,64.7,,0
90,2021-11-01 0:59,13.2,0,10,0.9,1019.3,1021.4,64.9,,0
90,2021-11-01 1:00,13.2,0,351.3,1.2,1019.4,1021.5,65.1,,0
90,2021-11-01 1:01,13.2,0,359.9,1.4,1019.4,1021.5,64.9,,0
90,2021-11-01 1:02,13.1,0,9.8,1.7,1019.3,1021.4,65.2,,0
90,2021-11-01 1:03,12.9,0,6.2,1.3,1019.3,1021.4,65.9,,0
90,2021-11-01 1:04,13,0,326.4,0.9,1019.3,1021.4,65.1,,0
90,2021-11-01 1:05,13.3,0,342.9,0.9,1019.3,1021.4,63.6,,0
90,2021-11-01 1:06,13.5,0,339.8,1.2,1019.3,1021.4,62.7,,0
90,2021-11-01 1:07,13.5,0,356.2,1.4,1019.3,1021.4,62.8,,0
90,2021-11-01 1:08,13.4,0,337.1,1.5,1019.3,1021.4,63.2,,0
90,2021-11-01 1:09,13.5,0,304.8,1.4,1019.3,1021.4,62.9,,0
90,2021-11-01 1:10,13.6,0,188.4,0.7,1019.3,1021.4,62.1,,0
90,2021-11-01 1:11,13.3,0,196.3,1.2,1019.3,1021.4,63.5,,0
90,2021-11-01 1:12,12.7,0,179.5,1.2,1019.3,1021.4,65.6,,0
90,2021-11-01 1:13,12.4,0,270.4,0.7,1019.3,1021.4,67,,0
90,2021-11-01 1:14,12.4,0,3.7,0.3,1019.4,1021.5,67.2,,0
90,2021-11-01 1:15,12.4,0,324.9,0.2,1019.3,1021.4,66.9,,0
90,2021-11-01 1:16,12.5,0,196.1,0.4,1019.3,1021.4,66.8,,0
90,2021-11-01 1:17,12.6,0,193.5,0.2,1019.3,1021.4,66.3,,0
90,2021-11-01 1:18,12.6,0,315.1,0.3,1019.3,1021.4,66.4,,0
90,2021-11-01 1:19,12.6,0,266.8,0.3,1019.3,1021.4,66.4,,0
90,2021-11-01 1:20,12.8,0,273.1,0.4,1019.3,1021.4,65.6,,0
90,2021-11-01 1:21,12.8,0,261.1,0.6,1019.3,1021.4,65.6,,0
90,2021-11-01 1:22,12.9,0,248.4,0.5,1019.3,1021.4,65.2,,0
90,2021-11-01 1:23,12.9,0,257.2,0.8,1019.3,1021.4,65.1,,0
90,2021-11-01 1:24,12.9,0,277.9,0.6,1019.3,1021.4,65.2,,0
90,2021-11-01 1:25,12.8,0,220.8,0.8,1019.4,1021.5,65.4,,0
90,2021-11-01 1:26,12.6,0,218,0.7,1019.3,1021.4,65.8,,0
90,2021-11-01 1:27,12.7,0,307.6,0.4,1019.3,1021.4,65.7,,0
90,2021-11-01 1:28,12.8,0,318.8,0.9,1019.3,1021.4,65.5,,0
90,2021-11-01 1:29,13,0,313.7,1.4,1019.3,1021.4,65,,0
90,2021-11-01 1:30,13.3,0,341.8,1.5,1019.3,1021.4,64,,0
90,2021-11-01 1:31,13.4,0,335.5,1.3,1019.3,1021.4,63.4,,0
90,2021-11-01 1:32,13.6,0,292.3,1.8,1019.3,1021.4,62.8,,0
90,2021-11-01 1:33,13.8,0,315.8,1.8,1019.3,1021.4,62.5,,0
90,2021-11-01 1:34,13.9,0,302.6,2.2,1019.3,1021.4,62.2,,0
90,2021-11-01 1:35,13.9,0,305.8,2.1,1019.3,1021.4,61.9,,0
90,2021-11-01 1:36,13.9,0,336.5,1.8,1019.2,1021.3,61.9,,0
90,2021-11-01 1:37,13.9,0,299.4,1.9,1019.2,1021.3,61.8,,0
90,2021-11-01 1:38,14,0,308.2,2,1019.2,1021.3,61.3,,0
90,2021-11-01 1:39,14.1,0,295.9,2.6,1019.2,1021.3,60.6,,0
90,2021-11-01 1:40,14.2,0,286.3,2.6,1019.3,1021.4,60.2,,0
90,2021-11-01 1:41,14.2,0,274.8,2.4,1019.3,1021.4,60.3,,0
90,2021-11-01 1:42,14.2,0,283.3,2.1,1019.2,1021.3,60.5,,0
90,2021-11-01 1:43,14.1,0,273,1.2,1019.2,1021.3,60.4,,0
90,2021-11-01 1:44,14.1,0,259.3,1,1019.3,1021.4,60.5,,0
90,2021-11-01 1:45,14,0,212,1.5,1019.3,1021.4,60.5,,0
90,2021-11-01 1:46,13.7,0,195.4,1.9,1019.3,1021.4,61.2,,0
90,2021-11-01 1:47,13.4,0,197.7,1.3,1019.3,1021.4,62.8,,0
90,2021-11-01 1:48,13.1,0,207.4,1,1019.4,1021.5,63.7,,0
90,2021-11-01 1:49,12.9,0,235.7,0.4,1019.3,1021.4,64.5,,0
90,2021-11-01 1:50,12.8,0,191.3,0.7,1019.3,1021.4,64.9,,0
90,2021-11-01 1:51,12.8,0,256.5,1.2,1019.3,1021.4,65.1,,0
90,2021-11-01 1:52,13.2,0,274.3,1.7,1019.3,1021.4,64.2,,0
90,2021-11-01 1:53,13.5,0,279.3,1.5,1019.3,1021.4,63,,0
90,2021-11-01 1:54,13.8,0,288.2,1.4,1019.3,1021.4,62.1,,0
90,2021-11-01 1:55,14.1,0,280.1,1.8,1019.3,1021.4,61,,0
90,2021-11-01 1:56,14.3,0,289.2,2.9,1019.3,1021.4,60.1,,0
90,2021-11-01 1:57,14.7,0,270,3,1019.4,1021.5,58.8,,0
90,2021-11-01 1:58,14.8,0,218.1,1.3,1019.4,1021.5,58,,0
90,2021-11-01 1:59,14.5,0,241,1.1,1019.4,1021.5,58.8,,0
90,2021-11-01 2:00,14.4,0,284.7,1.5,1019.4,1021.5,59.3,,0
90,2021-11-01 2:01,14.5,0,293.3,2.2,1019.4,1021.5,59.1,,0
90,2021-11-01 2:02,14.7,0,311.8,1.8,1019.4,1021.5,58.4,,0
90,2021-11-01 2:03,14.8,0,298.6,2.4,1019.4,1021.5,57.9,,0
90,2021-11-01 2:04,15,0,300.3,1.8,1019.4,1021.5,57.3,,0
90,2021-11-01 2:05,15,0,290.6,2.9,1019.4,1021.5,57.2,,0
90,2021-11-01 2:06,15,0,290.7,2.9,1019.4,1021.5,57.2,,0
90,2021-11-01 2:07,15,0,293.1,2.8,1019.4,1021.5,57.3,,0
90,2021-11-01 2:08,15,0,293.1,2.9,1019.4,1021.5,57.2,,0
90,2021-11-01 2:09,15.1,0,303.6,2.4,1019.4,1021.5,56.9,,0
90,2021-11-01 2:10,15,0,286.6,2.7,1019.4,1021.5,57.1,,0
90,2021-11-01 2:11,15,0,282.5,2.3,1019.4,1021.5,57,,0
90,2021-11-01 2:12,15.1,0,286.4,3.1,1019.4,1021.5,56.7,,0
90,2021-11-01 2:13,15.1,0,286.4,2.6,1019.4,1021.5,56.7,,0
90,2021-11-01 2:14,15.2,0,299.1,3,1019.4,1021.5,56.6,,0
90,2021-11-01 2:15,15.2,0,310.9,2.1,1019.4,1021.5,56.4,,0
90,2021-11-01 2:16,15.2,0,288.7,2.8,1019.4,1021.5,56.4,,0
90,2021-11-01 2:17,15.1,0,310.2,2.5,1019.4,1021.5,56.5,,0
90,2021-11-01 2:18,15,0,309.1,2.5,1019.4,1021.5,56.7,,0
90,2021-11-01 2:19,15,0,302.7,2,1019.4,1021.5,57,,0
90,2021-11-01 2:20,14.9,0,294.5,2.6,1019.4,1021.5,57.1,,0
90,2021-11-01 2:21,14.8,0,289.7,2.2,1019.4,1021.5,57.5,,0
90,2021-11-01 2:22,14.8,0,305,2.3,1019.4,1021.5,57.6,,0
90,2021-11-01 2:23,14.7,0,304.4,2.2,1019.4,1021.5,58.1,,0
90,2021-11-01 2:24,14.6,0,311.7,2.2,1019.4,1021.5,58.5,,0
90,2021-11-01 2:25,14.6,0,293.2,2.5,1019.4,1021.5,58.8,,0
90,2021-11-01 2:26,14.4,0,291,2.2,1019.4,1021.5,59.3,,0
90,2021-11-01 2:27,14.3,0,292.3,2.4,1019.4,1021.5,60,,0
90,2021-11-01 2:28,14.3,0,303.5,2.2,1019.4,1021.5,60.4,,0
90,2021-11-01 2:29,14.2,0,300.6,2.5,1019.4,1021.5,60.4,,0
90,2021-11-01 2:30,14.3,0,318.2,2.5,1019.4,1021.5,60.2,,0
90,2021-11-01 2:31,14.3,0,333.1,1.8,1019.4,1021.5,60.5,,0
90,2021-11-01 2:32,14.3,0,300.6,2.3,1019.4,1021.5,60.3,,0
90,2021-11-01 2:33,14.4,0,307.4,2.7,1019.4,1021.5,59.8,,0
90,2021-11-01 2:34,14.4,0,303.8,3.4,1019.4,1021.5,59.4,,0
90,2021-11-01 2:35,14.5,0,306.4,3.3,1019.4,1021.5,59.5,,0
90,2021-11-01 2:36,14.5,0,299.9,3.6,1019.5,1021.6,59.9,,0
90,2021-11-01 2:37,14.4,0,297.5,3.2,1019.5,1021.6,60.4,,0
90,2021-11-01 2:38,14.3,0,295.7,3.1,1019.5,1021.6,60.7,,0
90,2021-11-01 2:39,14.2,0,289.8,2.8,1019.5,1021.6,61.1,,0
90,2021-11-01 2:40,14.1,0,280.7,3.2,1019.6,1021.7,61.5,,0
90,2021-11-01 2:41,14.1,0,289,3.7,1019.6,1021.7,61.8,,0
90,2021-11-01 2:42,14.1,0,296.8,3.7,1019.5,1021.6,61.3,,0
90,2021-11-01 2:43,14.2,0,292,4.3,1019.6,1021.7,60.2,,0
90,2021-11-01 2:44,14.4,0,293.9,3.3,1019.6,1021.7,60.3,,0
90,2021-11-01 2:45,14.4,0,311.6,2.4,1019.6,1021.7,60.4,,0
90,2021-11-01 2:46,14.3,0,293.5,2.7,1019.6,1021.7,60.7,,0
90,2021-11-01 2:47,14.3,0,296.7,3,1019.6,1021.7,61,,0
90,2021-11-01 2:48,14.2,0,284.1,2.8,1019.6,1021.7,61.4,,0
90,2021-11-01 2:49,14.1,0,287.5,3.2,1019.6,1021.7,61.9,,0
90,2021-11-01 2:50,14.1,0,296.5,3.5,1019.6,1021.7,62.1,,0
90,2021-11-01 2:51,14.1,0,306.5,2.5,1019.6,1021.7,62,,0
90,2021-11-01 2:52,14.1,0,297.5,2.9,1019.6,1021.7,61.5,,0
90,2021-11-01 2:53,14.2,0,293.5,3.2,1019.6,1021.7,61,,0
90,2021-11-01 2:54,14.3,0,304.1,3.3,1019.6,1021.7,60.9,,0
90,2021-11-01 2:55,14.3,0,293.5,3.5,1019.7,1021.8,61.1,,0
90,2021-11-01 2:56,14.3,0,295.1,3.2,1019.6,1021.7,60.9,,0
90,2021-11-01 2:57,14.3,0,311.3,2.2,1019.6,1021.7,61,,0
90,2021-11-01 2:58,14.2,0,278.1,2.2,1019.6,1021.7,61.1,,0
90,2021-11-01 2:59,14.2,0,287.3,2.4,1019.6,1021.7,61.5,,0
90,2021-11-01 3:00,14.2,0,285.6,2.6,1019.6,1021.7,61.4,,0
90,2021-11-01 3:01,14.1,0,275.4,1.9,1019.7,1021.8,61.6,,0
90,2021-11-01 3:02,14,0,278,2.6,1019.7,1021.8,62.1,,0
90,2021-11-01 3:03,13.9,0,270.1,1.8,1019.7,1021.8,62.5,,0
90,2021-11-01 3:04,14,0,275.5,2.8,1019.6,1021.7,61.2,,0
90,2021-11-01 3:05,14.2,0,288,3.3,1019.7,1021.8,60.5,,0
90,2021-11-01 3:06,14.1,0,292.2,2.2,1019.6,1021.7,61.6,,0
90,2021-11-01 3:07,14.1,0,288.4,2.2,1019.7,1021.8,61.3,,0
90,2021-11-01 3:08,14.1,0,282,2.6,1019.6,1021.7,61.4,,0
90,2021-11-01 3:09,14.2,0,273.6,2.1,1019.7,1021.8,61.2,,0
90,2021-11-01 3:10,14.1,0,272.9,2.3,1019.6,1021.7,61.5,,0
90,2021-11-01 3:11,14,0,278.3,2.3,1019.6,1021.7,61.9,,0
90,2021-11-01 3:12,14.1,0,283.9,2.1,1019.6,1021.7,61.6,,0
90,2021-11-01 3:13,14,0,287.4,2.8,1019.6,1021.7,61.6,,0
90,2021-11-01 3:14,14,0,278.4,3.4,1019.6,1021.7,61.8,,0
90,2021-11-01 3:15,14.1,0,270,2.5,1019.6,1021.7,60.8,,0
90,2021-11-01 3:16,14.3,0,269.8,2.1,1019.6,1021.7,60.4,,0
90,2021-11-01 3:17,14.2,0,275.9,2,1019.6,1021.7,60.6,,0
90,2021-11-01 3:18,14.2,0,270.2,2.5,1019.6,1021.7,60.5,,0
90,2021-11-01 3:19,14.2,0,275,2.8,1019.6,1021.7,59.9,,0
90,2021-11-01 3:20,14.4,0,275.7,2.5,1019.6,1021.7,59.1,,0
90,2021-11-01 3:21,14.5,0,269.1,2.4,1019.6,1021.7,58.9,,0
90,2021-11-01 3:22,14.5,0,275.2,2.4,1019.6,1021.7,58.9,,0
90,2021-11-01 3:23,14.5,0,275.1,2.4,1019.6,1021.7,58.9,,0
90,2021-11-01 3:24,14.5,0,272.7,2.5,1019.6,1021.7,59,,0
90,2021-11-01 3:25,14.5,0,277.9,3,1019.6,1021.7,58.6,,0
90,2021-11-01 3:26,14.6,0,276.2,3,1019.6,1021.7,58.2,,0
90,2021-11-01 3:27,14.7,0,280.7,3.4,1019.5,1021.6,57.8,,0
90,2021-11-01 3:28,14.8,0,273.6,3.1,1019.5,1021.6,57.1,,0
90,2021-11-01 3:29,14.9,0,273.4,3.1,1019.5,1021.6,56.7,,0
90,2021-11-01 3:30,15,0,276,3.1,1019.5,1021.6,56.5,,0
90,2021-11-01 3:31,15,0,279.8,2.8,1019.6,1021.7,56.4,,0
90,2021-11-01 3:32,14.9,0,279.2,2.8,1019.6,1021.7,56.5,,0
90,2021-11-01 3:33,14.9,0,279.4,2.4,1019.6,1021.7,56.7,,0
90,2021-11-01 3:34,14.8,0,284.9,2.8,1019.6,1021.7,57.1,,0
90,2021-11-01 3:35,14.7,0,292.7,2.8,1019.6,1021.7,57.3,,0
90,2021-11-01 3:36,14.7,0,288.3,2.7,1019.6,1021.7,57.4,,0
90,2021-11-01 3:37,14.6,0,284.2,2.8,1019.6,1021.7,57.8,,0
90,2021-11-01 3:38,14.4,0,294.2,2.9,1019.6,1021.7,58.2,,0
90,2021-11-01 3:39,14.4,0,288.6,3.3,1019.5,1021.6,58.6,,0
90,2021-11-01 3:40,14.3,0,282.1,3.3,1019.5,1021.6,58.9,,0
90,2021-11-01 3:41,14.3,0,281.8,3.2,1019.5,1021.6,59,,0
90,2021-11-01 3:42,14.2,0,275.5,2.8,1019.5,1021.6,59.1,,0
90,2021-11-01 3:43,14.2,0,286,2.9,1019.5,1021.6,59.3,,0
90,2021-11-01 3:44,14.2,0,280.7,2.6,1019.5,1021.6,59.5,,0
90,2021-11-01 3:45,14.2,0,289.4,3.1,1019.5,1021.6,59.4,,0
90,2021-11-01 3:46,14.2,0,287.6,3.2,1019.5,1021.6,59.1,,0
90,2021-11-01 3:47,14.3,0,294.4,3.4,1019.5,1021.6,59.2,,0
90,2021-11-01 3:48,14.3,0,300.2,2.9,1019.5,1021.6,59.4,,0
90,2021-11-01 3:49,14.2,0,300,2.8,1019.5,1021.6,59.7,,0
90,2021-11-01 3:50,14.2,0,294.5,2.7,1019.5,1021.6,60,,0
90,2021-11-01 3:51,14.1,0,295.2,2.9,1019.5,1021.6,60.3,,0
90,2021-11-01 3:52,14.1,0,296.8,3.3,1019.5,1021.6,60.4,,0
90,2021-11-01 3:53,14.1,0,291.5,3.2,1019.5,1021.6,60.5,,0
90,2021-11-01 3:54,14.1,0,286.5,3,1019.5,1021.6,60.7,,0
90,2021-11-01 3:55,14,0,295.2,2.9,1019.5,1021.6,61.2,,0
90,2021-11-01 3:56,13.9,0,294.9,3.2,1019.4,1021.5,61.4,,0
90,2021-11-01 3:57,14,0,295.5,2.9,1019.4,1021.5,61,,0
90,2021-11-01 3:58,14,0,295.9,3,1019.4,1021.5,60.6,,0
90,2021-11-01 3:59,14.1,0,296.2,2.9,1019.4,1021.5,60.4,,0
90,2021-11-01 4:00,14.1,0,296,3,1019.4,1021.5,60.3,,0
90,2021-11-01 4:01,14.2,0,293.4,3,1019.4,1021.5,60.2,,0
90,2021-11-01 4:02,14.2,0,299.7,2.7,1019.4,1021.5,60.3,,0
90,2021-11-01 4:03,14.1,0,304.7,2.5,1019.4,1021.5,60.4,,0
90,2021-11-01 4:04,14.2,0,295.5,2.8,1019.4,1021.5,60.6,,0
90,2021-11-01 4:05,14.2,0,300.7,2.5,1019.4,1021.5,60.7,,0
90,2021-11-01 4:06,14.2,0,293,2.9,1019.4,1021.5,60.6,,0
90,2021-11-01 4:07,14.1,0,295,3.1,1019.4,1021.5,60.9,,0
90,2021-11-01 4:08,14.1,0,296.7,2.9,1019.4,1021.5,61,,0
90,2021-11-01 4:09,14,0,301.2,2.7,1019.3,1021.4,61.2,,0
90,2021-11-01 4:10,14,0,298.8,2.5,1019.3,1021.4,61.4,,0
90,2021-11-01 4:11,14,0,298.9,2.3,1019.4,1021.5,61.7,,0
90,2021-11-01 4:12,13.9,0,294.8,2.5,1019.4,1021.5,61.8,,0
90,2021-11-01 4:13,13.9,0,304.5,2,1019.4,1021.5,62,,0
90,2021-11-01 4:14,13.9,0,302.3,2,1019.4,1021.5,62.2,,0
90,2021-11-01 4:15,13.9,0,297,2.4,1019.4,1021.5,62.3,,0
90,2021-11-01 4:16,13.8,0,303.1,2.7,1019.4,1021.5,62.6,,0
90,2021-11-01 4:17,13.8,0,306.7,2.3,1019.4,1021.5,62.7,,0
90,2021-11-01 4:18,13.8,0,291.8,2.8,1019.4,1021.5,62.6,,0
90,2021-11-01 4:19,13.8,0,296.3,2.8,1019.4,1021.5,62.7,,0
90,2021-11-01 4:20,13.8,0,290.7,2.9,1019.4,1021.5,62.9,,0
90,2021-11-01 4:21,13.7,0,292.1,2.9,1019.4,1021.5,62.9,,0
90,2021-11-01 4:22,13.7,0,293.9,2.8,1019.4,1021.5,63,,0
90,2021-11-01 4:23,13.7,0,295.8,2.7,1019.4,1021.5,63.3,,0
90,2021-11-01 4:24,13.7,0,295,2.8,1019.4,1021.5,62.8,,0
90,2021-11-01 4:25,13.7,0,289.3,2.9,1019.4,1021.5,62.5,,0
90,2021-11-01 4:26,13.8,0,293,2.8,1019.4,1021.5,62.2,,0
90,2021-11-01 4:27,13.8,0,288.3,2.5,1019.4,1021.5,62.1,,0
90,2021-11-01 4:28,13.7,0,285.6,2.7,1019.4,1021.5,62.5,,0
90,2021-11-01 4:29,13.6,0,290.1,2.8,1019.4,1021.5,62.7,,0
90,2021-11-01 4:30,13.6,0,289.5,2.8,1019.4,1021.5,62.7,,0
90,2021-11-01 4:31,13.7,0,296.4,2.7,1019.4,1021.5,62.6,,0
90,2021-11-01 4:32,13.7,0,293.3,2.7,1019.4,1021.5,62.5,,0
90,2021-11-01 4:33,13.7,0,289.9,2.3,1019.4,1021.5,62.6,,0
90,2021-11-01 4:34,13.6,0,292.4,2.3,1019.4,1021.5,63.1,,0
90,2021-11-01 4:35,13.6,0,288.3,2.5,1019.4,1021.5,63.5,,0
90,2021-11-01 4:36,13.5,0,284.1,2.4,1019.4,1021.5,63.7,,0
90,2021-11-01 4:37,13.4,0,286.4,2.5,1019.4,1021.5,63.8,,0
90,2021-11-01 4:38,13.4,0,287.5,2.6,1019.4,1021.5,64.2,,0
90,2021-11-01 4:39,13.4,0,291.2,2.7,1019.4,1021.5,64,,0
90,2021-11-01 4:40,13.5,0,290.6,2.6,1019.4,1021.5,63.4,,0
90,2021-11-01 4:41,13.5,0,288.9,2.4,1019.4,1021.5,63.3,,0
90,2021-11-01 4:42,13.4,0,287.9,2.6,1019.4,1021.5,63.8,,0
90,2021-11-01 4:43,13.4,0,296.4,2.4,1019.4,1021.5,64.1,,0
90,2021-11-01 4:44,13.3,0,297,2.5,1019.4,1021.5,64.1,,0
90,2021-11-01 4:45,13.4,0,295.8,2.3,1019.4,1021.5,63.9,,0
90,2021-11-01 4:46,13.4,0,288.2,2.5,1019.4,1021.5,63.9,,0
90,2021-11-01 4:47,13.4,0,289.5,2.5,1019.5,1021.6,64.1,,0
90,2021-11-01 4:48,13.4,0,290.4,2.6,1019.5,1021.6,64.3,,0
90,2021-11-01 4:49,13.3,0,293.8,2.8,1019.5,1021.6,64.5,,0
90,2021-11-01 4:50,13.3,0,306.8,2.5,1019.5,1021.6,64.4,,0
90,2021-11-01 4:51,13.4,0,302.8,2.4,1019.5,1021.6,64,,0
90,2021-11-01 4:52,13.4,0,298,2.7,1019.5,1021.6,64,,0
90,2021-11-01 4:53,13.4,0,307.6,2.7,1019.5,1021.6,64.1,,0
90,2021-11-01 4:54,13.4,0,303.7,2.7,1019.5,1021.6,63.8,,0
90,2021-11-01 4:55,13.5,0,297.9,2.8,1019.5,1021.6,63.5,,0
90,2021-11-01 4:56,13.6,0,308.4,2.8,1019.5,1021.6,63.4,,0
90,2021-11-01 4:57,13.5,0,304.3,2.8,1019.5,1021.6,63.4,,0
90,2021-11-01 4:58,13.6,0,305.6,2.6,1019.5,1021.6,63.1,,0
90,2021-11-01 4:59,13.6,0,296.5,2.9,1019.5,1021.6,62.8,,0
90,2021-11-01 5:00,13.6,0,298.5,3.4,1019.5,1021.6,62.4,,0
90,2021-11-01 5:01,13.7,0,292.3,3.1,1019.4,1021.5,61.7,,0
90,2021-11-01 5:02,13.8,0,297.1,3.4,1019.5,1021.6,61.4,,0
90,2021-11-01 5:03,13.9,0,306.3,3.3,1019.4,1021.5,61.2,,0
90,2021-11-01 5:04,13.9,0,302.9,3.2,1019.4,1021.5,60.9,,0
90,2021-11-01 5:05,14,0,299.2,3,1019.4,1021.5,60.5,,0
90,2021-11-01 5:06,14,0,301,3.4,1019.4,1021.5,60.4,,0
90,2021-11-01 5:07,14,0,301.5,3.1,1019.4,1021.5,60.4,,0
90,2021-11-01 5:08,14,0,303.2,3.3,1019.4,1021.5,60.3,,0
90,2021-11-01 5:09,14,0,304.1,3,1019.4,1021.5,60.2,,0
90,2021-11-01 5:10,14.1,0,301,3.2,1019.4,1021.5,59.9,,0
90,2021-11-01 5:11,14.1,0,301.6,3.5,1019.4,1021.5,59.4,,0
90,2021-11-01 5:12,14.2,0,285.1,3.1,1019.4,1021.5,59,,0
90,2021-11-01 5:13,14.2,0,287.5,3.4,1019.4,1021.5,59.1,,0
90,2021-11-01 5:14,14.1,0,287.6,2.8,1019.4,1021.5,59.5,,0
90,2021-11-01 5:15,14,0,284.2,2.5,1019.4,1021.5,60,,0
90,2021-11-01 5:16,13.8,0,290.3,2.7,1019.4,1021.5,60.8,,0
90,2021-11-01 5:17,13.8,0,285.3,2.7,1019.4,1021.5,61,,0
90,2021-11-01 5:18,13.7,0,288.6,3,1019.4,1021.5,61.6,,0
90,2021-11-01 5:19,13.6,0,297.2,3.2,1019.4,1021.5,62,,0
90,2021-11-01 5:20,13.7,0,309.5,2.8,1019.3,1021.4,61.9,,0
